"DATE","OPEN","HIGH","LOW","CLOSE","VOLUME","ADJUSTED"
"2010-01-22",627.7,630.6,615.52,617.12,1,617.12
"2010-01-25",620.92,621.78,614.18,618.11,1,618.11
"2010-01-27",610.29,618.76,607.95,618.38,1,618.38
"2010-01-28",619.65,620.18,603.26,607.93,1,607.93
"2010-01-29",610,616.03,600.53,602.04,1,602.04
"2010-02-01",603.55,609.27,602.54,609.25,1,609.25
"2010-02-02",610.14,615.6,607.41,614.05,1,614.05
"2010-02-03",612.26,615.74,606.64,610.66,1,610.66
"2010-02-04",610.63,610.63,589.68,589.68,1,589.68
"2010-02-05",590.15,592.99,580.49,592.98,1,592.98
"2010-02-08",592.17,595.29,586.37,586.49,1,586.49
"2010-02-09",591.81,597.35,588.21,595.17,1,595.17
"2010-02-10",593.26,596.83,587.43,595.82,1,595.82
"2010-02-11",594.28,605.6,590.62,605.46,1,605.46
"2010-02-12",600.92,610.72,598.12,610.72,1,610.72
"2010-02-16",613.8,620.84,611.58,620.84,1,620.84
"2010-02-17",622.41,625.15,620.33,624.83,1,624.83
"2010-02-18",623.6,629.32,622.89,629.32,1,629.32
"2010-02-19",628.64,632.84,626.6,631.62,1,631.62
"2010-02-22",633.55,633.55,630.46,632.25,1,632.25
"2010-02-23",630.95,631.5,623.77,625.07,1,625.07
"2010-02-24",625.85,632.28,625.75,630.43,1,630.43
"2010-02-25",624.71,630.46,620.61,630.46,1,630.46
"2010-02-26",630.76,630.76,625.26,628.56,1,628.56
"2010-03-01",630.73,642.65,630.73,642.65,1,642.65
"2010-03-02",643.6,650.3,643.6,648.3,1,648.3
"2010-03-03",649.6,653.9,647.6,649.3,1,649.3
"2010-03-04",650,652.5,648.2,652.5,1,652.5
"2010-03-05",655,666,655,666,1,666
"2010-03-08",665.9,668.2,665,667.1,1,667.1
"2010-03-09",665.1,673.4,664.6,669.6,1,669.6
"2010-03-10",669.9,677.5,669.9,674.9,1,674.9
"2010-03-11",671.6,677.2,668.9,677.2,1,677.2
"2010-03-12",678.9,678.9,672.6,676.6,1,676.6
"2010-03-15",675.3,676.2,669.4,674.4,1,674.4
"2010-03-16",674.6,679.6,673.1,679.6,1,679.6
"2010-03-17",680.4,686.9,680.2,684,1,684
"2010-03-18",682.1,686,680.8,681.6,1,681.6
"2010-03-19",682.4,683.6,671.2,673.9,1,673.9
"2010-03-22",669.9,683.3,667.5,682.9,1,682.9
"2010-03-23",683.1,690.9,680.6,690.3,1,690.3
"2010-03-24",688.1,689.4,683.4,683.7,1,683.7
"2010-03-25",687.1,693.3,678.9,679.1,1,679.1
"2010-03-26",679.1,685.5,676.8,679,1,679
"2010-03-29",680.6,683.5,679.3,682.3,1,682.3
"2010-03-30",682.9,686.6,679.9,683.9,1,683.9
"2010-03-31",681.4,686.4,681.3,685.4,1,685.4
"2010-04-01",681.6,686.5,677.8,684,1,684
"2010-04-05",686.2,697.7,685.5,697.7,1,697.7
"2010-04-06",695,702.7,693.9,701.5,1,701.5
"2010-04-07",700.2,702.8,695.4,699.5,1,699.5
"2010-04-08",697.4,701.5,692.5,699.6,1,699.6
"2010-04-09",700.9,703,696.1,703,1,703
"2010-04-12",703.7,706.5,702,705.1,1,705.1
"2010-04-13",704,707.2,700.4,707,1,707
"2010-04-14",709.9,722.4,709.9,722.4,1,722.4
"2010-04-15",722.1,725.1,720.7,724.2,1,724.2
"2010-04-16",723.6,724,710.3,714.6,1,714.6
"2010-04-19",714.4,716.8,702.3,711.4,1,711.4
"2010-04-20",713.4,721.6,712.4,721.6,1,721.6
"2010-04-21",721.5,726.8,719.9,726.2,1,726.2
"2010-04-22",721.1,734.4,715.6,734.3,1,734.3
"2010-04-23",734.5,741.9,731.7,741.9,1,741.9
"2010-04-26",741.6,746,738.6,738.9,1,738.9
"2010-04-27",736.1,741.7,720.5,721.3,1,721.3
"2010-04-28",724,726.7,719.8,722.4,1,722.4
"2010-04-29",725.9,737.7,724.3,737.7,1,737.7
"2010-04-30",738.3,738.6,716.5,716.6,1,716.6
"2010-05-03",719.3,732.9,719.3,732.8,1,732.8
"2010-05-04",726.4,726.4,705.8,709.7,1,709.7
"2010-05-05",703.3,708.6,693.9,698.6,1,698.6
"2010-05-06",695.7,700.9,639.1,672.2,1,672.2
"2010-05-07",671.1,675.5,647.8,653,1,653
"2010-05-10",668.3,689.9,668.3,689.6,1,689.6
"2010-05-11",684,704,680.6,695.5,1,695.5
"2010-05-12",695.7,716.2,695.7,716.1,1,716.1
"2010-05-13",713.7,719.7,706,709.9,1,709.9
"2010-05-14",709.3,709.3,686.5,694,1,694
"2010-05-17",696.6,703.6,677.9,695.7,1,695.7
"2010-05-18",701,705.3,681.5,682.8,1,682.8
"2010-05-19",680.2,686.2,665.8,674.4,1,674.4
"2010-05-20",665.9,665.9,640,640,1,640
"2010-05-21",635,654.5,629.6,649.3,1,649.3
"2010-05-24",648.1,652.8,641.2,641.2,1,641.2
"2010-05-25",648.1,652.8,617.6,640,1,640
"2010-05-26",642.9,658,640.4,642.6,1,642.6
"2010-05-27",650.8,670.6,650.7,670.5,1,670.5
"2010-05-28",668.8,670.1,657.4,661.6,1,661.6
"2010-06-01",657.5,662.7,641,641,1,641
"2010-06-02",644.1,660.5,640.4,660.5,1,660.5
"2010-06-03",661.2,669.4,658.9,667.4,1,667.4
"2010-06-04",658.6,658.6,633.1,634,1,634
"2010-06-07",636.01,639.22,617.99,618.49,1,618.49
"2010-06-08",620.33,623.83,607.29,617.69,1,617.69
"2010-06-09",619.98,632.24,615.56,618.29,1,618.29
"2010-06-10",624.19,639.79,624.19,639.79,1,639.79
"2010-06-11",634.18,649,632.82,649,1,649
"2010-06-14",653.9,663,651,652.3,1,652.3
"2010-06-15",655.6,670,654.5,668.8,1,668.8
"2010-06-16",663.9,671.7,662.3,666.1,1,666.1
"2010-06-17",668.9,669.3,659.4,665.9,1,665.9
"2010-06-18",667.4,671.6,663.9,666.9,1,666.9
"2010-06-21",673.5,677.2,656.7,660,1,660
"2010-06-22",661.8,668.2,645.6,645.9,1,645.9
"2010-06-23",645.3,650.1,637.7,644.3,1,644.3
"2010-06-24",641.6,643.35,632.85,633.15,1,633.15
"2010-06-25",635.2,646.65,631.25,645.1,1,645.1
"2010-06-28",644.15,649.7,638.55,641.55,1,641.55
"2010-06-29",635.95,635.95,612.1,615.95,1,615.95
"2010-06-30",616.35,623.7,608.35,609.5,1,609.5
"2010-07-01",609.75,611.1,590.55,604.75,1,604.75
"2010-07-02",604.95,608.7,595.39,598.95,1,598.95
"2010-07-06",605.05,613.31,587.65,590.05,1,590.05
"2010-07-07",592.1,611.7,592.1,611.65,1,611.65
"2010-07-08",615.65,620.4,611.54,620.27,1,620.27
"2010-07-09",619.35,629.55,618.4,629.45,1,629.45
"2010-07-12",627.65,631.35,617.58,621.6,1,621.6
"2010-07-13",626.7,644.35,626.7,642.8,1,642.8
"2010-07-14",640.3,643.47,635.63,640.15,1,640.15
"2010-07-15",640.3,640.3,627.35,634.6,1,634.6
"2010-07-16",631.35,631.36,609.55,610.4,1,610.4
"2010-07-19",612.25,614.02,602.64,613.1,1,613.1
"2010-07-20",606.75,624.31,603.5,624.24,1,624.24
"2010-07-21",627.55,629.4,611.85,612.64,1,612.64
"2010-07-22",618.45,635.95,618.45,635.5,1,635.5
"2010-07-23",632.8,650.9,631,650.7,1,650.7
"2010-07-26",659.6,665.3,650.1,665.2,1,665.2
"2010-07-27",668.7,672.2,660.1,662.2,1,662.2
"2010-07-28",660.2,663,648.5,650.8,1,650.8
"2010-07-29",654.7,658.5,640.6,650.5,1,650.5
"2010-07-30",643.2,654.8,639.5,650.9,1,650.9
"2010-08-02",657.4,664.5,656.7,661.9,1,661.9
"2010-08-03",659.3,664.4,652,655.7,1,655.7
"2010-08-04",657.8,663.4,657.8,663,1,663
"2010-08-05",658.6,661.2,655.1,655.1,1,655.1
"2010-08-06",648.9,653.7,639.7,650.7,1,650.7
"2010-08-09",654.3,660.2,651.9,659.5,1,659.5
"2010-08-10",651.2,660.2,642,646.4,1,646.4
"2010-08-11",638.85,638.85,619.38,620.4,1,620.4
