Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,110817,16:00:00,, ,,,,,,,,,1,0,,,,,704.2
,RUT 11X475,Dec 475 Puts,110817,16:00:00,475,P,111216,0.487,6.18,5.6,6.4,-0.026,113,10,-7.569,0.092,50.665,-10.028,-16.898,0.071,6.5
,RUT 12O475,Mar12 475 Puts,110817,16:00:00,475,P,120316,0.445,12.57,11.2,13.4,-0.021,,,-11.606,0.105,91.106,-9.442,-46.346,0.136,-1
,RUT 11T480,Aug 480 Puts,110817,16:00:00,480,P,110819,,0.01,,0.2,,,26,-0.01,0,0.054,-0.574,-0.001,0,-1
,RUT 11U480,Sep 480 Puts,110817,16:00:00,480,P,110916,0.623,0.68,0.5,0.7,-0.118,11,1648,-1.572,0.038,7.287,-6.766,-0.873,0.002,0.5
,RUT 11V480,Oct 480 Puts,110817,16:00:00,480,P,111021,0.544,2.8,2.25,3.1,-0.043,1,201,-4.521,0.073,25.199,-10.194,-5.399,0.025,2.76
,RUT 11X480,Dec 480 Puts,110817,16:00:00,480,P,111216,0.482,6.5,5.8,6.9,-0.023,,828,-7.949,0.096,52.696,-10.339,-17.777,0.077,-1
,RUT 12O480,Mar12 480 Puts,110817,16:00:00,480,P,120316,0.445,13.1,12.3,14,0.004,,,-12.069,0.109,93.879,-9.825,-48.288,0.142,-1
,RUT 12R480,Jun12 480 Puts,110817,16:00:00,480,P,120615,0.42,19.72,17.3,20.7,-0.037,,,-14.346,0.103,129.49,-8.786,-87.473,0.187,-1
,RUT 11T490,Aug 490 Puts,110817,16:00:00,490,P,110819,,0.01,,0.05,,,397,-0.011,0,0.061,-0.631,-0.001,0,-1
,RUT 11U490,Sep 490 Puts,110817,16:00:00,490,P,110916,0.593,0.79,0.4,0.8,-0.241,31,528,-1.841,0.044,8.358,-6.713,-1.024,0.003,0.7
,RUT 11V490,Oct 490 Puts,110817,16:00:00,490,P,111021,0.534,3.16,2.65,3.5,-0.025,,140,-5.103,0.082,27.861,-11.202,-6.111,0.032,-1
,RUT 11X490,Dec 490 Puts,110817,16:00:00,490,P,111216,0.474,7.18,6.6,7.5,-0.018,10,1141,-8.76,0.105,56.933,-11.009,-19.662,0.089,7.1
,RUT 12O490,Mar12 490 Puts,110817,16:00:00,490,P,120316,0.437,14.22,13.5,14.8,-0.005,,50,-13.039,0.116,99.557,-10.207,-52.38,0.156,-1
,RUT 12R490,Jun12 490 Puts,110817,16:00:00,490,P,120615,0.418,21.19,20.2,21.8,-0.009,,4,-15.342,0.109,135.962,-9.263,-93.871,0.2,-1
,RUT 11H500,Aug 500 Calls,110817,16:00:00,500,C,110819,,204.39,203,207.9,0.005,,45,99.82,0.003,1.041,-24.229,2.709,1,-1
,RUT 11I500,Sep 500 Calls,110817,16:00:00,500,C,110916,,206,203.3,205.9,-0.007,,73,96.384,0.057,17.788,-21.182,38.478,0.995,-1
,RUT 11J500,Oct 500 Calls,110817,16:00:00,500,C,111021,,207.66,203.4,208.2,-0.009,,,93.509,0.082,37.259,-16.389,80.025,0.96,-1
,RUT 11L500,Dec 500 Calls,110817,16:00:00,500,C,111216,,211.49,206.8,210.3,-0.013,1,93,90.06,0.096,68.992,-14.497,139.752,0.898,211.1
,RUT 12C500,Mar12 500 Calls,110817,16:00:00,500,C,120316,,214.81,210,214.9,-0.011,,1,86.2,0.11,106.63,-11.129,231.999,0.83,-1
,RUT 12F500,Jun12 500 Calls,110817,16:00:00,500,C,120615,,217.56,213.7,218.6,-0.006,,77,83.68,0.111,138.341,-9.359,318.419,0.786,-1
,RUT 11T500,Aug 500 Puts,110817,16:00:00,500,P,110819,,0.01,,0.2,,,1187,-0.013,0,0.069,-0.698,-0.001,0,-1
,RUT 11U500,Sep 500 Puts,110817,16:00:00,500,P,110916,0.598,0.92,0.75,1,-0.043,21,878,-2.157,0.051,9.586,-9.048,-1.202,0.005,0.96
,RUT 11V500,Oct 500 Puts,110817,16:00:00,500,P,111021,0.523,3.57,3.1,3.8,-0.031,42,758,-5.756,0.091,30.76,-12.086,-6.914,0.04,3.59
,RUT 11X500,Dec 500 Puts,110817,16:00:00,500,P,111216,0.468,7.94,7.5,8.4,0.003,20,4626,-9.645,0.114,61.405,-11.863,-21.727,0.102,8.1
,RUT 12O500,Mar12 500 Puts,110817,16:00:00,500,P,120316,0.431,15.43,14.6,16.2,-0.003,11,1367,-14.072,0.123,105.402,-10.64,-56.762,0.17,15.1
,RUT 12R500,Jun12 500 Puts,110817,16:00:00,500,P,120615,0.413,22.75,21.7,23.5,-0.005,34,538,-16.389,0.115,142.534,-9.596,-100.633,0.214,23.2
