DATE,OPEN,HIGH,LOW,CLOSE,VOLU,ADJUSTED
2009-01-30,845.7,851.7,821.7,825.9,1,825.9
2009-02-02,818.8,830.8,812.9,825.4,1,825.4
2009-02-03,829.1,842.6,822,838.5,1,838.5
2009-02-04,837.8,851.9,829.2,832.2,1,832.2
2009-02-05,831.8,850.6,819.9,845.9,1,845.9
2009-02-06,846.1,870.6,845.4,868.6,1,868.6
2009-02-09,868.2,874.8,861.7,869.9,1,869.9
2009-02-10,865.6,867.9,823.5,827.2,1,827.2
2009-02-11,827.4,838.2,822.3,833.7,1,833.7
2009-02-12,826,835.5,808.1,835.2,1,835.2
2009-02-13,834,839.4,825.2,826.8,1,826.8
2009-02-17,818.6,818.6,789.2,789.2,1,789.2
2009-02-18,791.1,796.2,780.6,788.4,1,788.4
2009-02-19,787.9,797.6,777,778.9,1,778.9
2009-02-20,773.3,778.7,754.3,770.1,1,770.1
2009-02-23,773.3,777.9,742.4,743.3,1,743.3
2009-02-24,746.6,775.5,744.8,773.1,1,773.1
2009-02-25,770.6,780.1,752.9,764.9,1,764.9
2009-02-26,767.8,779.4,751.8,752.8,1,752.8
2009-02-27,749.9,751.3,734.5,735.1,1,735.1
2009-03-02,729.6,729.6,699.7,700.8,1,700.8
2009-03-03,704.4,711.7,692.3,696.3,1,696.3
2009-03-04,703.6,724.1,700.4,712.9,1,712.9
2009-03-05,706.4,706.4,677.9,682.6,1,682.6
2009-03-06,686.4,699,666.8,683.4,1,683.4
2009-03-09,679.1,695.3,672.9,676.5,1,676.5
2009-03-10,679.3,719.6,679.3,719.6,1,719.6
2009-03-11,719.6,731.9,713.9,721.4,1,721.4
2009-03-12,720.9,752.6,714.8,750.7,1,750.7
2009-03-13,752,758.3,742.5,756.6,1,756.6
2009-03-16,758.8,774.5,753.4,753.9,1,753.9
2009-03-17,753.9,778.1,749.9,778.1,1,778.1
2009-03-18,776,803,765.6,794.4,1,794.4
2009-03-19,797.9,803.2,781.8,784,1,784
2009-03-20,784.6,788.9,766.2,768.5,1,768.5
2009-03-23,772.3,823.4,772.3,822.9,1,822.9
2009-03-24,820.6,823.7,805.5,806.3,1,806.3
2009-03-25,806.8,826.8,791.4,813.9,1,813.9
2009-03-26,818.4,832.9,815.3,832.9,1,832.9
2009-03-27,828.7,828.7,813.4,815.9,1,815.9
2009-03-30,809.1,809.1,779.8,787.5,1,787.5
2009-03-31,790.9,810.5,790.9,797.9,1,797.9
2009-04-01,793.6,813.6,783.3,811.1,1,811.1
2009-04-02,814.5,845.6,814.5,834.4,1,834.4
2009-04-03,835.1,842.5,826.9,842.5,1,842.5
2009-04-06,836.3,837.4,822.8,835.5,1,835.5
2009-04-07,824.2,825.5,814.5,815.6,1,815.6
2009-04-08,816.8,828.4,814.8,825.2,1,825.2
2009-04-09,832.3,856.9,832.3,856.6,1,856.6
2009-04-13,855.3,864.3,845.4,858.7,1,858.7
2009-04-14,853.9,856.7,840.3,841.5,1,841.5
2009-04-15,839.4,852.9,836,852.1,1,852.1
2009-04-16,854.5,870.3,847,865.3,1,865.3
2009-04-17,865.2,875.6,860.9,869.6,1,869.6
2009-04-20,868.3,868.3,832.4,832.4,1,832.4
2009-04-21,831.3,850.1,826.8,850.1,1,850.1
2009-04-22,846.5,861.8,840.6,843.6,1,843.6
2009-04-23,845.5,852.9,835.5,851.9,1,851.9
2009-04-24,854.8,871.8,854.8,866.2,1,866.2
2009-04-27,862.8,868.8,854.8,857.5,1,857.5
2009-04-28,853.4,864.5,847.1,855.2,1,855.2
2009-04-29,858.9,881.9,858.9,873.6,1,873.6
2009-04-30,876.6,888.7,868.5,872.8,1,872.8
2009-05-01,873.5,880.4,866.1,877.5,1,877.5
2009-05-04,879.2,907.9,879.2,907.2,1,907.2
2009-05-05,904.8,907.7,897.3,903.8,1,903.8
2009-05-06,910,920.3,904.5,919.5,1,919.5
2009-05-07,923.3,929.6,901.4,907.4,1,907.4
2009-05-08,911.7,930.2,911.7,929.2,1,929.2
2009-05-11,923,923,908.7,909.2,1,909.2
2009-05-12,910.5,915.6,896.5,908.4,1,908.4
2009-05-13,905.4,905.4,882.8,883.9,1,883.9
2009-05-14,884.2,898.4,882.5,893.1,1,893.1
2009-05-15,892.8,896.6,878.9,882.9,1,882.9
2009-05-18,894.3,910,891.2,909.7,1,909.7
2009-05-19,909.7,916.4,905.2,908.1,1,908.1
2009-05-20,908.6,924.6,901.7,903.5,1,903.5
2009-05-21,900.4,900.4,879.6,888.3,1,888.3
2009-05-22,888.7,896.7,883.8,887,1,887
2009-05-26,887,911.8,881.5,910.3,1,910.3
2009-05-27,910,913.8,891.9,893.1,1,893.1
2009-05-28,893,909.5,887.6,906.8,1,906.8
2009-05-29,907,920,903.6,919.1,1,919.1
2009-06-01,923.3,947.8,923.3,942.9,1,942.9
2009-06-02,942.9,949.4,938.5,944.7,1,944.7
2009-06-03,940.2,940.2,923.9,931.8,1,931.8
2009-06-04,933.7,942.5,929.3,942.5,1,942.5
2009-06-05,945.7,951.7,934.1,940.1,1,940.1
2009-06-08,938.1,946.3,926.4,939.1,1,939.1
2009-06-09,941.3,946.9,936.2,942.4,1,942.4
2009-06-10,945.4,949.6,928,939.2,1,939.2
2009-06-11,939,956.2,939,944.9,1,944.9
2009-06-12,943.4,946.3,935.7,946.2,1,946.2
2009-06-15,940.2,940.2,919.7,923.7,1,923.7
2009-06-16,925.6,928,911.6,912,1,912
2009-06-17,912,918.4,903.8,910.7,1,910.7
2009-06-18,911.2,921.9,907.9,918.4,1,918.4
2009-06-19,920,927.1,915.8,921.2,1,921.2
2009-06-22,918.1,918.1,893,893,1,893
2009-06-23,893.5,898.2,888.9,895.1,1,895.1
2009-06-24,896.3,910.9,896.3,900.9,1,900.9
2009-06-25,899.5,921.3,896.3,920.3,1,920.3
2009-06-26,918.8,922,913,918.9,1,918.9
2009-06-29,919.9,928,916.2,927.2,1,927.2
2009-06-30,927.2,930,912.9,919.3,1,919.3
2009-07-01,920.8,931.9,920.8,923.3,1,923.3
2009-07-02,918.4,918.4,896.4,896.4,1,896.4
2009-07-06,893.1,898.7,886.4,898.7,1,898.7
2009-07-07,898.6,898.6,880.1,881,1,881
2009-07-08,881.9,886.8,869.3,879.6,1,879.6
2009-07-09,882.4,887.9,878.5,882.7,1,882.7
2009-07-10,880,883.6,872.8,879.1,1,879.1
2009-07-13,879.6,901.1,875.6,901.1,1,901.1
2009-07-14,901.5,905.8,896.7,905.8,1,905.8
2009-07-15,910.2,933.6,910.2,932.7,1,932.7
2009-07-16,929.8,944,927.6,940.7,1,940.7
2009-07-17,940.6,941.9,934.7,940.4,1,940.4
2009-07-20,942.1,951.6,941,951.1,1,951.1
2009-07-21,954.5,956.5,943.2,954.6,1,954.6
2009-07-22,953.4,959.8,948.6,954.1,1,954.1
2009-07-23,954.1,979.4,953.6,976.3,1,976.3
2009-07-24,972.2,979.8,966,979.3,1,979.3
2009-07-27,978.6,982.5,972.3,982.2,1,982.2
2009-07-28,981.5,982.4,969.4,979.6,1,979.6
2009-07-29,975.5,977.8,968.7,975.2,1,975.2
2009-07-30,979.7,996.7,979.7,986.8,1,986.8
2009-07-31,986.8,993.2,982.9,987.5,1,987.5
2009-08-03,990.2,1003.6,990.2,1002.6,1,1002.6
2009-08-04,1000.1,1007.1,996.7,1005.7,1,1005.7
2009-08-05,1005.4,1006.6,994.4,1002.7,1,1002.7
2009-08-06,1004.1,1008,992.5,997.1,1,997.1
2009-08-07,1002,1018,1002,1010.5,1,1010.5
2009-08-10,1008.9,1010.1,1001,1007.1,1,1007.1
2009-08-11,1005.8,1005.8,992.4,994.4,1,994.4
2009-08-12,993.6,1012.8,993.6,1005.8,1,1005.8
2009-08-13,1007.4,1013,1000.8,1012.7,1,1012.7
2009-08-14,1012.2,1012.6,994.6,1004.1,1,1004.1
2009-08-17,998.2,998.2,978.5,979.7,1,979.7
2009-08-18,980.6,991.2,980.6,989.7,1,989.7
2009-08-19,986.9,999.6,980.6,996.5,1,996.5
2009-08-20,996.4,1008.9,996.4,1007.4,1,1007.4
2009-08-21,1011.6,1027.5,1011.6,1026.1,1,1026.1
2009-08-24,1026.6,1035.8,1022.5,1025.6,1,1025.6
2009-08-25,1026.6,1037.8,1026.2,1028,1,1028
2009-08-26,1027.4,1032.5,1021.6,1028.1,1,1028.1
2009-08-27,1027.8,1033.3,1016.3,1031,1,1031
2009-08-28,1031.6,1038.9,1023.1,1028.9,1,1028.9
2009-08-31,1025.2,1025.2,1014.6,1020.6,1,1020.6
2009-09-01,1018,1028.5,996.3,998,1,998
2009-09-02,996.1,1000.3,992.2,994.8,1,994.8
2009-09-03,997.2,1003.4,992.6,1003.2,1,1003.2
2009-09-04,1003.8,1016.5,1001.7,1016.4,1,1016.4
2009-09-08,1022.9,1025.7,1020.3,1025.4,1,1025.4
2009-09-09,1026.2,1036.3,1024,1033.4,1,1033.4
2009-09-10,1032.4,1044.1,1028.2,1044.1,1,1044.1
2009-09-11,1043.9,1048.2,1038.4,1042.7,1,1042.7
