Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,100120,16:00:00,, ,,,,,,,,,1,0,,,,,1138
,SXBNE,Feb 925 Puts,100120,16:00:00,925,P,100219,0.356,0.96,0.8,0.9,-0.115,4583,29042,-1.502,0.028,16.69,-8.88,-2.061,0,0.9
,SXBOE,Mar 925 Puts,100120,16:00:00,925,P,100319,0.311,2.72,2.35,2.95,-0.026,3785,69806,-3.933,0.061,42.803,-11.214,-8.473,0,2.7
,SXBPE,Apr 925 Puts,100120,16:00:00,925,P,100416,0.293,5.15,4.8,5.3,-0.017,50,1133,-6.165,0.077,72.639,-12.168,-19.392,0,5.25
,SXBQE,May 925 Puts,100120,16:00:00,925,P,100521,0.281,8.66,8,9,-0.018,,3,-9.074,0.096,109.479,-12.548,-38.03,0.001,-1
,SXBRE,Jun 925 Puts,100120,16:00:00,925,P,100618,0.274,11.59,10.5,12.1,-0.025,,15613,-11.156,0.106,137.179,-12.442,-55.948,0.002,-1
,SXBUE,Sep 925 Puts,100120,16:00:00,925,P,100917,0.264,21.51,20.4,22.3,-0.007,,3343,-15.727,0.111,217.307,-11.87,-128.24,0.015,-1
,SXBXE,Dec 925 Puts,100120,16:00:00,925,P,101217,0.256,30.71,29.1,32.3,0,,10802,-18.246,0.103,283.178,-10.88,-213.42,0.036,-1
,SXBNF,Feb 930 Puts,100120,16:00:00,930,P,100219,0.355,1.01,0.8,1.15,-0.04,1960,398,-1.588,0.03,17.442,-9.81,-2.17,0,0.9
,SXBOF,Mar 930 Puts,100120,16:00:00,930,P,100319,0.308,2.85,2.45,3.1,-0.025,,178,-4.142,0.064,44.577,-11.541,-8.911,0,-1
,SXBPF,Apr 930 Puts,100120,16:00:00,930,P,100416,0.289,5.38,4.8,5.6,-0.033,,,-6.458,0.081,75.217,-12.343,-20.289,0,-1
,SXBQF,May 930 Puts,,,930,P,100521,,9,,,,,,-9.451,0.1,112.766,-12.982,-39.591,0.001,
,SXBRF,Jun 930 Puts,,,930,P,100618,,12.03,,,,,,-11.581,0.109,140.879,-12.885,-58.079,0.003,
,SXBUF,Sep 930 Puts,,,930,P,100917,,22.18,,,,,,-16.208,0.115,221.665,-12.067,-132.192,0.018,
,SXBXF,Dec 930 Puts,100120,16:00:00,930,P,101217,0.255,31.59,30.2,33.3,0.005,,1,-18.727,0.104,287.884,-11.033,-219.237,0.04,-1
,SXBNG,Feb 935 Puts,100120,16:00:00,935,P,100219,0.347,1.05,0.7,1.2,-0.086,271,5785,-1.68,0.032,18.239,-9.687,-2.288,0,1.1
,SXBOG,Mar 935 Puts,100120,16:00:00,935,P,100319,0.304,2.98,2.6,3.2,-0.023,100,4,-4.365,0.068,46.432,-11.879,-9.376,0,3.1
,SXBPG,Apr 935 Puts,,,935,P,100416,,5.61,,,,,,-6.767,0.085,77.884,-12.975,-21.233,0,
,SXBQG,May 935 Puts,,,935,P,100521,,9.36,,,,,,-9.844,0.104,116.134,-13.248,-41.219,0.001,
,SXBRG,Jun 935 Puts,,,935,P,100618,,12.48,,,,,,-12.021,0.113,144.649,-13.121,-60.292,0.004,
,SXBUG,Sep 935 Puts,,,935,P,100917,,22.88,,,,,,-16.71,0.118,226.057,-12.222,-136.259,0.02,
,SXBXG,Dec 935 Puts,100120,16:00:00,935,P,101217,0.253,32.49,31,34.2,0.003,,236,-19.217,0.106,292.592,-11.149,-225.184,0.045,-1
,SXBNH,Feb 940 Puts,100120,16:00:00,940,P,100219,0.343,1.1,0.75,1.35,-0.045,127,2890,-1.78,0.034,19.084,-10.338,-2.414,0,1.05
,SXBOH,Mar 940 Puts,100120,16:00:00,940,P,100319,0.301,3.13,2.8,3.4,-0.006,38,2289,-4.602,0.072,48.373,-12.37,-9.869,0,3.3
,SXBPH,Apr 940 Puts,100120,16:00:00,940,P,100416,0.283,5.86,5.2,6.2,-0.027,,9,-7.092,0.089,80.642,-13.031,-22.225,0,-1
,SXBQH,May 940 Puts,,,940,P,100521,,9.73,,,,,,-10.253,0.108,119.583,-13.516,-42.917,0.002,
,SXBRH,Jun 940 Puts,,,940,P,100618,,12.95,,,,,,-12.478,0.117,148.488,-13.358,-62.59,0.005,
,SXBUH,Sep 940 Puts,,,940,P,100917,,23.59,,,,,,-17.226,0.121,230.482,-12.376,-140.442,0.024,
,SXBXH,Dec 940 Puts,100120,16:00:00,940,P,101217,0.252,33.42,32,35.1,0.004,,2,-19.718,0.108,297.299,-11.264,-231.264,0.05,-1
,SXBNI,Feb 945 Puts,100120,16:00:00,945,P,100219,0.337,1.15,0.8,1.35,-0.061,3450,2662,-1.887,0.036,19.982,-10.51,-2.549,0,1.2
,SXBOI,Mar 945 Puts,100120,16:00:00,945,P,100319,0.296,3.28,2.9,3.5,-0.021,129,10019,-4.854,0.076,50.401,-12.587,-10.393,0,3.32
,SXBPI,Apr 945 Puts,,,945,P,100416,,6.12,,,,,,-7.434,0.093,83.492,-13.619,-23.269,0,
,SXBQI,May 945 Puts,,,945,P,100521,,10.13,,,,,,-10.681,0.112,123.113,-13.788,-44.689,0.002,
,SXBRI,Jun 945 Puts,,,945,P,100618,,13.44,,,,,,-12.953,0.121,152.394,-13.596,-64.975,0.006,
,SXBUI,Sep 945 Puts,,,945,P,100917,,24.33,,,,,,-17.756,0.124,234.934,-12.529,-144.744,0.027,
,SXBXI,Dec 945 Puts,100120,16:00:00,945,P,101217,0.25,34.37,32.9,36.1,0.004,,1,-20.229,0.111,302,-11.377,-237.477,0.055,-1
,SXBNJ,Feb 950 Puts,100120,16:00:00,950,P,100219,0.327,1.2,0.85,1.25,-0.125,3988,54264,-2.003,0.039,20.935,-10.244,-2.695,0,1.1
,SXBOJ,Mar 950 Puts,100120,16:00:00,950,P,100319,0.294,3.44,3.1,3.8,0.003,30,108023,-5.122,0.08,52.522,-13.18,-10.95,0,3.48
,SXBPJ,Apr 950 Puts,100120,16:00:00,950,P,100416,0.278,6.4,5.7,6.7,-0.023,10,778,-7.795,0.098,86.437,-13.748,-24.368,0.001,7.3
,SXBQJ,May 950 Puts,100120,16:00:00,950,P,100521,0.268,10.54,9.9,10.9,-0.013,,,-11.127,0.116,126.723,-13.943,-46.537,0.003,-1
,SXBRJ,Jun 950 Puts,100120,16:00:00,950,P,100618,0.264,13.96,13,14.6,-0.007,916,40891,-13.445,0.125,156.365,-13.781,-67.451,0.007,15
,SXBUJ,Sep 950 Puts,100120,16:00:00,950,P,100917,0.255,25.1,24,26,-0.004,723,9115,-18.301,0.128,239.412,-12.639,-149.169,0.031,25
,SXBXJ,Dec 950 Puts,100120,16:00:00,950,P,101217,0.248,35.34,33.8,37,0.001,200,37177,-20.751,0.113,306.693,-11.453,-243.826,0.061,35.2
,SXBBK,Feb 955 Calls,100120,16:00:00,955,C,100219,,182.38,181,183.1,-0.002,,,97.785,0.04,21.823,-11.633,75.605,1,-1
,SXBCK,Mar 955 Calls,100120,16:00:00,955,C,100319,,183.31,181.6,184.2,-0.002,,,94.194,0.083,57.007,-14.409,139.457,1,-1
,SXBDK,Apr 955 Calls,,,955,C,100416,,185.14,,,,,,91.199,0.099,93.885,-15.49,197.499,0.999,
,SXBEK,May 955 Calls,,,955,C,100521,,187.07,,,,,,87.625,0.119,132.968,-14.91,266.378,0.996,
,SXBFK,Jun 955 Calls,,,955,C,100618,,189,,,,,,85.227,0.126,162.959,-14.601,317.631,0.991,
,SXBIK,Sep 955 Calls,,,955,C,100917,,195.18,,,,,,79.742,0.127,246.153,-13.273,470.711,0.965,
,SXBLK,Dec 955 Calls,,,955,C,101217,,201.87,,,,,,77.643,0.11,315.598,-12.291,606.69,0.933,
,SXBNK,Feb 955 Puts,100120,16:00:00,955,P,100219,0.325,1.26,0.9,1.45,-0.063,275,1392,-2.128,0.042,21.949,-11.109,-2.852,0,1.35
,SXBOK,Mar 955 Puts,100120,16:00:00,955,P,100319,0.29,3.61,3.2,4,-0.003,,287,-5.408,0.085,54.738,-13.567,-11.541,0,-1
,SXBPK,Apr 955 Puts,,,955,P,100416,,6.69,,,,,,-8.175,0.102,89.477,-14.286,-25.523,0.001,
,SXBQK,May 955 Puts,,,955,P,100521,,10.96,,,,,,-11.593,0.121,130.412,-14.337,-48.465,0.004,
,SXBRK,Jun 955 Puts,,,955,P,100618,,14.49,,,,,,-13.956,0.129,160.399,-14.073,-70.021,0.009,
,SXBUK,Sep 955 Puts,,,955,P,100917,,25.88,,,,,,-18.861,0.131,243.91,-12.83,-153.718,0.035,
,SXBXK,Dec 955 Puts,,,955,P,101217,,36.34,,,,,,-21.284,0.115,311.372,-11.562,-250.312,0.067,
,SXBBL,Feb 960 Calls,100120,16:00:00,960,C,100219,,177.44,175.8,178.1,-0.003,,,97.654,0.043,22.892,-12.007,75.848,1,-1
,SXBCL,Mar 960 Calls,100120,16:00:00,960,C,100319,,178.49,176.4,179.3,-0.004,,5,93.897,0.087,59.293,-14.795,139.619,1,-1
,SXBDL,Apr 960 Calls,100120,16:00:00,960,C,100416,,180.45,178.4,181.4,-0.003,,,90.814,0.103,96.911,-15.808,197.47,0.999,-1
,SXBEL,May 960 Calls,,,960,C,100521,,182.52,,,,,,87.147,0.123,136.667,-15.179,266.03,0.995,
,SXBFL,Jun 960 Calls,,,960,C,100618,,184.55,,,,,,84.713,0.13,166.944,-14.826,317.039,0.989,
,SXBIL,Sep 960 Calls,,,960,C,100917,,191,,,,,,79.186,0.13,250.568,-13.415,469.364,0.96,
,SXBLL,Dec 960 Calls,,,960,C,101217,,197.85,,,,,,77.126,0.112,319.978,-12.379,604.86,0.926,
,SXBNL,Feb 960 Puts,100120,16:00:00,960,P,100219,0.321,1.32,1,1.5,-0.045,1292,10546,-2.263,0.045,23.027,-11.63,-3.021,0,1.5
,SXBOL,Mar 960 Puts,100120,16:00:00,960,P,100319,0.285,3.8,3.3,4.1,-0.016,3,28,-5.712,0.09,57.053,-13.811,-12.17,0,4.45
,SXBPL,Apr 960 Puts,100120,16:00:00,960,P,100416,0.272,6.99,6.4,7.4,-0.013,,,-8.576,0.107,92.614,-14.491,-26.739,0.001,-1
,SXBQL,May 960 Puts,,,960,P,100521,,11.41,,,,,,-12.078,0.125,134.18,-14.614,-50.476,0.005,
,SXBRL,Jun 960 Puts,,,960,P,100618,,15.04,,,,,,-14.485,0.133,164.494,-14.312,-72.687,0.011,
,SXBUL,Sep 960 Puts,,,960,P,100917,,26.7,,,,,,-19.436,0.134,248.425,-12.978,-158.394,0.04,
,SXBXL,Dec 960 Puts,,,960,P,101217,,37.36,,,,,,-21.828,0.117,316.034,-11.668,-256.938,0.074,
,SXBBM,Feb 965 Calls,100120,16:00:00,965,C,100219,,172.5,170.9,173.2,-0.003,,42,97.512,0.046,24.03,-12.399,76.078,1,-1
,SXBCM,Mar 965 Calls,100120,16:00:00,965,C,100319,,173.69,172,174.6,-0.002,,,93.581,0.092,61.677,-15.191,139.742,1,-1
,SXBDM,Apr 965 Calls,,,965,C,100416,,175.77,,,,,,90.41,0.108,100.029,-16.13,197.379,0.999,
,SXBEM,May 965 Calls,,,965,C,100521,,177.99,,,,,,86.649,0.128,140.439,-15.449,265.597,0.993,
,SXBFM,Jun 965 Calls,,,965,C,100618,,180.12,,,,,,84.179,0.134,170.985,-15.052,316.348,0.987,
,SXBIM,Sep 965 Calls,,,965,C,100917,,186.84,,,,,,78.617,0.133,254.992,-13.555,467.892,0.955,
,SXBLM,Dec 965 Calls,,,965,C,101217,,193.85,,,,,,76.598,0.114,324.344,-12.465,602.891,0.919,
,SXBNM,Feb 965 Puts,100120,16:00:00,965,P,100219,0.316,1.39,1.05,1.6,-0.043,2559,571,-2.41,0.048,24.174,-12.096,-3.203,0,1.5
,SXBOM,Mar 965 Puts,100120,16:00:00,965,P,100319,0.282,3.99,3.5,4.3,-0.015,5,1955,-6.036,0.095,59.472,-14.217,-12.839,0,4.6
