Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,140604,16:00:00,, ,,,,,,,,,1,0,,,,,1131.2
,RUT 14R920,Jun 920 Puts,140604,16:00:00,920,P,140620,,0.04,,0.15,,2,1051,-0.148,0.005,1.374,-1.292,-0.09,0,0.15
,RUT 14S920,Jul 920 Puts,140604,16:00:00,920,P,140718,0.286,0.72,0.65,0.8,0.014,1,905,-1.651,0.037,16.825,-5.375,-2.424,0,0.75
,RUT 14T920,Aug 920 Puts,140604,16:00:00,920,P,140815,0.277,2.52,2.15,2.9,0.004,,81,-4.031,0.063,45.702,-8.686,-9.968,0.003,-1
,RUT 14U920,Sep 920 Puts,140604,16:00:00,920,P,140919,0.267,5.32,4.8,5.8,0,25,373,-6.917,0.085,82.017,-10.141,-24.555,0.012,5.7
,RUT 14X920,Dec 920 Puts,140604,16:00:00,920,P,141219,0.257,14.44,13.8,14.8,-0.008,400,159,-12.677,0.105,170.753,-10.956,-83.854,0.05,15.01
,RUT 14R930,Jun 930 Puts,140604,16:00:00,930,P,140620,,0.05,,0.15,,5,1014,-0.191,0.007,1.722,-1.588,-0.116,0,0.1
,RUT 14S930,Jul 930 Puts,140604,16:00:00,930,P,140718,0.281,0.86,0.8,0.95,0.012,26,1529,-1.969,0.044,19.518,-6.126,-2.888,0,0.85
,RUT 14T930,Aug 930 Puts,140604,16:00:00,930,P,140815,0.271,2.88,2.5,3.2,-0.007,6,268,-4.59,0.071,50.665,-9.409,-11.337,0.004,3.11
,RUT 14U930,Sep 930 Puts,140604,16:00:00,930,P,140919,0.262,5.94,5.4,6.4,-0.007,,189,-7.694,0.094,88.944,-10.783,-27.319,0.016,-1
,RUT 14X930,Dec 930 Puts,140604,16:00:00,930,P,141219,0.254,15.61,14.8,16,-0.013,,229,-13.643,0.111,179.677,-11.338,-90.314,0.06,-1
,RUT 14R940,Jun 940 Puts,140604,16:00:00,940,P,140620,,0.07,0.1,0.2,,,2670,-0.247,0.009,2.164,-1.958,-0.15,0,-1
,RUT 14S940,Jul 940 Puts,140604,16:00:00,940,P,140718,0.276,1.02,1,1.1,0.029,15,1947,-2.348,0.052,22.616,-7.032,-3.441,0.001,1.05
,RUT 14T940,Aug 940 Puts,140604,16:00:00,940,P,140815,0.268,3.28,2.95,3.7,0.012,10,181,-5.226,0.08,56.091,-10.376,-12.891,0.007,3.3
,RUT 14U940,Sep 940 Puts,140604,16:00:00,940,P,140919,0.258,6.64,6.1,7.1,-0.006,,125,-8.552,0.103,96.29,-11.509,-30.373,0.022,-1
,RUT 14X940,Dec 940 Puts,140604,16:00:00,940,P,141219,0.251,16.87,16.3,17.4,-0.001,,2012,-14.672,0.118,188.806,-11.856,-97.211,0.071,-1
,RUT 14F950,Jun 950 Calls,140604,16:00:00,950,C,140620,,180.52,178.6,182,-0.001,,48,99.684,0.01,2.19,-1.59,41.465,1,-1
,RUT 14G950,Jul 950 Calls,140604,16:00:00,950,C,140718,,180.16,178.1,181.4,-0.002,,32,97.532,0.053,22.619,-6.357,111.011,0.999,-1
,RUT 14H950,Aug 950 Calls,140604,16:00:00,950,C,140815,,181.69,179,182.2,-0.006,,48,94.249,0.081,61.373,-11.028,172.794,0.99,-1
,RUT 14I950,Sep 950 Calls,140604,16:00:00,950,C,140919,,183.47,180.9,183.8,-0.007,1,5,91.047,0.103,100.356,-11.76,246.166,0.972,180
,RUT 14L950,Dec 950 Calls,140604,16:00:00,950,C,141219,0.231,189,186.3,191,-0.002,1,645,84.396,0.129,187.482,-11.315,418.795,0.916,187.86
,RUT 14R950,Jun 950 Puts,140604,16:00:00,950,P,140620,,0.09,0.1,0.2,,47,3384,-0.321,0.012,2.729,-2.42,-0.194,0,0.18
,RUT 14S950,Jul 950 Puts,140604,16:00:00,950,P,140718,0.269,1.23,1.15,1.3,-0.008,32,4908,-2.801,0.061,26.168,-7.858,-4.1,0.001,1.22
,RUT 14T950,Aug 950 Puts,140604,16:00:00,950,P,140815,0.263,3.74,3.4,4.2,0.016,65,2423,-5.948,0.091,62,-11.343,-14.654,0.01,3.8
,RUT 14U950,Sep 950 Puts,140604,16:00:00,950,P,140919,0.254,7.41,6.9,7.8,-0.008,,6637,-9.498,0.113,104.048,-12.26,-33.741,0.028,-1
,RUT 14X950,Dec 950 Puts,140604,16:00:00,950,P,141219,0.248,18.22,17.7,18.8,0.002,,1822,-15.777,0.126,198.115,-12.281,-104.568,0.084,-1
,RUT 14F960,Jun 960 Calls,140604,16:00:00,960,C,140620,,170.54,168.6,172,-0.001,,27,99.599,0.013,2.822,-2.081,41.854,1,-1
,RUT 14G960,Jul 960 Calls,140604,16:00:00,960,C,140718,,170.36,168.4,171.6,-0.002,,35,97.066,0.063,26.346,-7.285,111.525,0.998,-1
,RUT 14H960,Aug 960 Calls,140604,16:00:00,960,C,140815,,172.17,169.6,172.7,-0.006,,11,93.517,0.092,67.441,-11.884,172.889,0.986,-1
,RUT 14I960,Sep 960 Calls,140604,16:00:00,960,C,140919,,174.24,171.9,174.5,-0.006,,12,90.101,0.114,108.246,-12.466,245.6,0.963,-1
,RUT 14L960,Dec 960 Calls,140604,16:00:00,960,C,141219,0.229,180.4,177.9,182.5,-0.001,,35,83.189,0.137,197.628,-11.865,416.27,0.902,-1
,RUT 14R960,Jun 960 Puts,140604,16:00:00,960,P,140620,0.32,0.12,0.1,0.25,,29,5181,-0.42,0.015,3.45,-4.123,-0.252,0,0.16
,RUT 14S960,Jul 960 Puts,140604,16:00:00,960,P,140718,0.265,1.47,1.45,1.55,0.02,39,2311,-3.34,0.072,30.225,-9.056,-4.885,0.002,1.55
,RUT 14T960,Aug 960 Puts,140604,16:00:00,960,P,140815,0.258,4.27,3.8,4.7,-0.002,3,425,-6.767,0.102,68.411,-12.156,-16.652,0.014,4.56
,RUT 14U960,Sep 960 Puts,140604,16:00:00,960,P,140919,0.251,8.28,7.7,8.7,-0.008,12,1197,-10.54,0.124,112.207,-13.033,-37.451,0.037,8.4
,RUT 14X960,Dec 960 Puts,140604,16:00:00,960,P,141219,0.246,19.69,19.2,20.3,0.003,,150,-16.954,0.134,207.57,-12.748,-112.408,0.098,-1
,RUT 14F970,Jun 970 Calls,140604,16:00:00,970,C,140620,,160.57,158.7,162,-0.001,,55,99.484,0.017,3.644,-2.709,42.225,1,-1
,RUT 14G970,Jul 970 Calls,140604,16:00:00,970,C,140718,,160.6,158.7,161.9,-0.002,,22,96.504,0.076,30.633,-8.329,111.9,0.996,-1
,RUT 14H970,Aug 970 Calls,140604,16:00:00,970,C,140815,,162.72,160.2,163.3,-0.007,2,6,92.687,0.104,74.016,-12.787,172.735,0.98,159.3
,RUT 14I970,Sep 970 Calls,140604,16:00:00,970,C,140919,,165.1,162.9,165.4,-0.006,,37,89.056,0.125,116.557,-13.192,244.669,0.953,-1
,RUT 14L970,Dec 970 Calls,140604,16:00:00,970,C,141219,0.228,171.91,169.6,174.1,0,,5,81.903,0.145,207.919,-12.41,413.199,0.887,-1
,RUT 14R970,Jun 970 Puts,140604,16:00:00,970,P,140620,0.312,0.15,0.15,0.3,,98,5176,-0.552,0.02,4.371,-5.059,-0.329,0,0.21
,RUT 14S970,Jul 970 Puts,140604,16:00:00,970,P,140718,0.258,1.76,1.65,1.8,-0.017,100,3202,-3.982,0.085,34.839,-9.94,-5.818,0.004,1.76
,RUT 14T970,Aug 970 Puts,140604,16:00:00,970,P,140815,0.253,4.87,4.4,5.3,-0.004,55,1581,-7.695,0.115,75.334,-13.085,-18.912,0.02,4.85
,RUT 14U970,Sep 970 Puts,140604,16:00:00,970,P,140919,0.248,9.24,8.8,9.7,0.003,10,2744,-11.684,0.136,120.745,-13.951,-41.53,0.047,9.7
,RUT 14X970,Dec 970 Puts,140604,16:00:00,970,P,141219,0.242,21.26,20.8,21.9,0.004,,291,-18.205,0.142,217.131,-13.163,-120.752,0.113,-1
,RUT 14F980,Jun 980 Calls,140604,16:00:00,980,C,140620,,150.61,148.7,152,-0.002,,71,99.327,0.023,4.712,-3.508,42.573,1,-1
,RUT 14G980,Jul 980 Calls,140604,16:00:00,980,C,140718,,150.89,149,152.2,-0.002,,32,95.829,0.09,35.542,-9.498,112.109,0.993,-1
,RUT 14H980,Aug 980 Calls,140604,16:00:00,980,C,140815,,153.34,150.9,153.8,-0.006,,14,91.743,0.117,81.112,-13.736,172.302,0.972,-1
,RUT 14I980,Sep 980 Calls,140604,16:00:00,980,C,140919,0.23,156.06,153.9,156.7,-0.005,,8,87.902,0.137,125.269,-13.167,243.342,0.94,-1
,RUT 14L980,Dec 980 Calls,140604,16:00:00,980,C,141219,0.225,163.55,161.5,165.7,0,,118,80.535,0.154,218.305,-12.855,409.561,0.869,-1
,RUT 14R980,Jun 980 Puts,140604,16:00:00,980,P,140620,0.301,0.2,0.2,0.35,0.35,44,5279,-0.728,0.026,5.547,-5.958,-0.431,0,0.2
,RUT 14S980,Jul 980 Puts,140604,16:00:00,980,P,140718,0.253,2.1,2,2.15,-0.014,150,2824,-4.744,0.1,40.06,-11.231,-6.926,0.007,2.07
