Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,121119,16:00:00,, ,,,,,,,,,1,0,,,,,1386.9
,SPX 12X1100,Dec 1100 Puts,121119,16:00:00,1100,P,121221,0.303,0.18,0.1,0.25,0,32,137462,-0.382,0.009,5.449,-2.438,-0.56,0,0.25
,SPX 13M1100,Jan13 1100 Puts,121119,16:00:00,1100,P,130118,0.276,0.92,0.95,1.15,0.141,668,9818,-1.487,0.025,22.912,-5.619,-3.834,0,1.05
,SPX 13N1100,Feb13 1100 Puts,121119,16:00:00,1100,P,130215,0.261,2.53,2.05,2.8,-0.043,,93,-3.175,0.04,51.766,-7.409,-11.985,0.001,-1
,SPX 13O1100,Mar13 1100 Puts,121119,16:00:00,1100,P,130315,0.258,4.69,4.2,5.1,-0.011,207,24925,-5.156,0.056,83.534,-9.157,-24.369,0.004,4.5
,SPX 13U1100,Sep13 1100 Puts,121119,16:00:00,1100,P,130920,0.247,24.99,23.7,25.6,-0.013,15,912,-13.604,0.074,281.052,-11.189,-182.441,0.058,25.15
,SPX 12X1105,Dec 1105 Puts,121119,16:00:00,1105,P,121221,,0.19,0.05,0.25,,,1767,-0.409,0.009,5.787,-2.563,-0.599,0,-1
,SPX 13M1105,Jan13 1105 Puts,121119,16:00:00,1105,P,130118,0.267,0.97,0.55,1.3,-0.031,100,717,-1.575,0.026,24.051,-5.154,-4.057,0,1.15
,SPX 12X1110,Dec 1110 Puts,121119,16:00:00,1110,P,121221,,0.2,0.05,0.25,,15,15603,-0.439,0.01,6.148,-2.696,-0.641,0,0.2
,SPX 13M1110,Jan13 1110 Puts,121119,16:00:00,1110,P,130118,0.265,1.02,0.65,1.35,-0.02,,657,-1.669,0.028,25.249,-5.364,-4.296,0,-1
,SPX 13N1110,Feb13 1110 Puts,121119,16:00:00,1110,P,130215,0.26,2.78,2.4,3.2,0.007,8,2970,-3.498,0.045,55.97,-8.201,-13.185,0.002,2.75
,SPX 12X1115,Dec 1115 Puts,121119,16:00:00,1115,P,121221,0.29,0.22,0.1,0.3,-0.091,,1388,-0.471,0.011,6.535,-2.662,-0.687,0,-1
,SPX 13M1115,Jan13 1115 Puts,121119,16:00:00,1115,P,130118,0.262,1.08,0.7,1.4,-0.028,,4324,-1.769,0.03,26.51,-5.583,-4.549,0,-1
,SPX 12X1120,Dec 1120 Puts,121119,16:00:00,1120,P,121221,0.284,0.23,0.1,0.3,-0.13,10,5876,-0.505,0.012,6.95,-2.628,-0.736,0,0.2
,SPX 13M1120,Jan13 1120 Puts,121119,16:00:00,1120,P,130118,0.26,1.14,0.75,1.5,-0.009,,602,-1.875,0.031,27.838,-5.868,-4.819,0,-1
,SPX 13N1120,Feb13 1120 Puts,121119,16:00:00,1120,P,130215,0.255,3.05,2.55,3.5,-0.003,5000,2204,-3.855,0.049,60.505,-8.661,-14.512,0.002,3.4
,SPX 12X1125,Dec 1125 Puts,121119,16:00:00,1125,P,121221,0.291,0.25,0.25,0.3,0.12,868,51863,-0.543,0.012,7.395,-3.507,-0.79,0,0.3
,SPX 13M1125,Jan13 1125 Puts,121119,16:00:00,1125,P,130118,0.255,1.2,0.8,1.4,-0.075,6,17424,-1.989,0.033,29.235,-5.764,-5.106,0,1.35
,SPX 13N1125,Feb13 1125 Puts,121119,16:00:00,1125,P,130215,0.253,3.2,2.75,3.6,-0.003,500,121,-4.048,0.051,62.904,-8.933,-15.228,0.003,3.4
,SPX 13O1125,Mar13 1125 Puts,121119,16:00:00,1125,P,130315,0.249,5.79,5.3,6.2,-0.007,,11241,-6.377,0.068,98.629,-10.447,-30.127,0.009,-1
,SPX 13U1125,Sep13 1125 Puts,121119,16:00:00,1125,P,130920,0.241,28.29,27.1,29.1,-0.007,,3001,-15.427,0.084,304.711,-11.849,-206.153,0.08,-1
,SPX 12X1130,Dec 1130 Puts,121119,16:00:00,1130,P,121221,0.278,0.26,0.1,0.35,-0.115,35,2691,-0.583,0.013,7.872,-2.958,-0.848,0,0.3
,SPX 13M1130,Jan13 1130 Puts,121119,16:00:00,1130,P,130118,0.254,1.27,0.85,1.6,-0.031,,341,-2.11,0.035,30.705,-6.239,-5.412,0,-1
,SPX 13N1130,Feb13 1130 Puts,121119,16:00:00,1130,P,130215,0.251,3.35,2.85,3.8,-0.003,2,122,-4.252,0.054,65.393,-9.213,-15.981,0.003,3.6
,SPX 12L1135,Dec 1135 Calls,121119,16:00:00,1135,C,121221,,249.77,247.7,249.6,-0.004,,,99.274,0.012,7.971,-3.415,98.572,1,-1
,SPX 13A1135,Jan13 1135 Calls,121119,16:00:00,1135,C,130118,,248.87,247.2,249.2,-0.003,,,97.494,0.035,33.171,-7.113,180.476,0.999,-1
,SPX 12X1135,Dec 1135 Puts,121119,16:00:00,1135,P,121221,0.276,0.28,0.15,0.35,-0.107,5,1246,-0.627,0.015,8.385,-3.16,-0.91,0,0.25
,SPX 13M1135,Jan13 1135 Puts,121119,16:00:00,1135,P,130118,0.253,1.35,1,1.7,0,65,3,-2.239,0.038,32.253,-6.682,-5.738,0.001,1.45
,SPX 12L1140,Dec 1140 Calls,121119,16:00:00,1140,C,121221,,244.79,242.8,244.7,-0.004,,,99.233,0.013,8.475,-3.584,98.948,1,-1
