Date,OIS Score
2014-01-02,8.292953039
2014-01-03,7.872392644
2014-01-06,11.43088485
2014-01-07,1.477625048
2014-01-08,6.96881805
2014-01-09,13.84758042
2014-01-10,10.26373654
2014-01-13,-2.406408197
2014-01-14,-16.47118179
2014-01-15,-18.48711606
2014-01-16,-13.43967561
2014-01-17,-2.398100111
2014-01-21,1.819473479
2014-01-22,2.504231196
2014-01-23,12.48593031
2014-01-24,9.625190174
2014-01-27,10.47479766
2014-01-28,-8.062820486
2014-01-29,-0.421149331
2014-01-30,-10.59071306
2014-01-31,7.788060483
2014-02-03,0.487850553
2014-02-04,-16.51720917
2014-02-05,-6.252550484
2014-02-06,-18.45058634
2014-02-07,-45.94982619
2014-02-10,-41.42288232
2014-02-11,-48.48724647
2014-02-12,-46.32726663
2014-02-13,-53.12758706
2014-02-14,-46.96996688
2014-02-18,-41.63825258
2014-02-19,-21.50298209
2014-02-20,-30.74395598
2014-02-21,-21.35301843
2014-02-24,-20.23280692
2014-02-25,-11.34788133
2014-02-26,-3.281929681
2014-02-27,0.55359219
2014-02-28,23.87196128
2014-03-03,43.64456864
2014-03-04,-20.16501601
2014-03-05,-15.45065455
2014-03-06,-7.967130415
2014-03-07,-3.263631102
2014-03-10,9.10001125
2014-03-11,12.62216005
2014-03-12,14.47081611
2014-03-13,20.70471039
2014-03-14,34.95510373
2014-03-17,26.26013957
2014-03-18,-0.961860582
2014-03-19,3.619090091
2014-03-20,10.31660948
2014-03-21,18.58097673
2014-03-24,17.83857337
2014-03-25,23.43205992
2014-03-26,12.02900809
2014-03-27,18.5137877
2014-03-28,24.44549232
2014-03-31,-1.685496466
2014-04-01,-22.92393442
2014-04-02,-19.55499438
2014-04-03,-11.3822773
2014-04-04,-25.82195859
2014-04-07,-19.97399993
2014-04-08,-25.72130375
2014-04-09,-37.84310784
2014-04-10,-48.45961863
2014-04-11,-39.58938574
2014-04-14,-33.69017838
2014-04-15,-27.0390892
2014-04-16,-44.56949197
2014-04-17,-50.70244986
2014-04-21,-42.86163287
2014-04-22,-50.78952971
2014-04-23,-42.16187054
2014-04-24,-25.89630852
2014-04-25,-22.19070183
2014-04-28,-10.44959488
2014-04-29,0.116879859
2014-04-30,-6.935694544
2014-05-01,3.661967241
2014-05-02,13.74356576
2014-05-05,28.85839606
2014-05-06,21.01725984
2014-05-07,29.84935115
2014-05-08,34.47994406
2014-05-09,18.45711385
2014-05-12,-29.26142943
2014-05-13,-29.18243261
2014-05-14,-30.42736229
2014-05-15,-19.83944811
2014-05-16,-20.0117838
2014-05-19,-30.11309258
2014-05-20,-26.31436275
2014-05-21,-24.09177568
2014-05-22,-29.21649386
2014-05-23,-38.98299611
2014-05-27,-42.8822274
2014-05-28,-33.12305739
2014-05-29,-28.79638416
2014-05-30,-24.54804378
2014-06-02,-7.88883866
2014-06-03,5.148566795
2014-06-04,10.35937302
2014-06-05,-25.63729801
2014-06-06,-30.3067471
2014-06-09,-18.47342021
2014-06-10,-10.93728234
2014-06-11,-1.256138332
2014-06-12,4.056090395
2014-06-13,8.954519043
2014-06-16,15.49439718
2014-06-17,13.74411682
2014-06-18,2.624206447
2014-06-19,6.136724364
2014-06-20,9.878828269
2014-06-23,21.67666576
2014-06-24,27.62835603
2014-06-25,22.73700086
2014-06-26,26.85647105
2014-06-27,20.21119659
2014-06-30,24.55978634
2014-07-01,16.98479786
2014-07-02,20.52864779
2014-07-03,15.72921267
2014-07-07,9.109607762
2014-07-08,5.244702212
2014-07-09,7.28727059
2014-07-10,13.41731851
2014-07-11,15.49853054
2014-07-14,13.73353517
2014-07-15,10.52730282
2014-07-16,15.39321767
2014-07-17,20.15033789
2014-07-18,-11.49432413
2014-07-21,-2.110539816
2014-07-22,-11.74999578
2014-07-23,-5.74003247
2014-07-24,2.551382902
2014-07-25,2.882382156
2014-07-28,14.29903877
2014-07-29,23.12010805
2014-07-30,23.97377108
2014-07-31,18.58452465
2014-08-01,25.5048091
2014-08-04,15.84791824
2014-08-05,26.1941467
2014-08-06,28.11776817
2014-08-07,35.25335877
2014-08-08,23.1754456
2014-08-11,4.73180962
2014-08-12,7.958381798
2014-08-13,0.971113844
2014-08-14,-0.253844273
2014-08-15,13.00375376
2014-08-18,-11.17113362
2014-08-19,-7.565601579
2014-08-20,-0.220803479
2014-08-21,0.834990737
2014-08-22,7.567097911
2014-08-25,15.48616301
2014-08-26,8.788308386
2014-08-27,16.44978848
2014-08-28,24.12246121
2014-08-29,24.65429887
2014-09-02,31.04129853
2014-09-03,37.45738477
2014-09-04,43.37734001
2014-09-05,39.57844197
2014-09-08,43.19820963
2014-09-09,41.39617281
2014-09-10,40.05158941
2014-09-11,31.5796732
2014-09-12,35.80785337
2014-09-15,35.38952164
2014-09-16,31.08518214
2014-09-17,26.78823904
2014-09-18,24.14725476
2014-09-19,18.52185013
2014-09-22,21.18803054
2014-09-23,27.09364546
2014-09-24,13.52767448
2014-09-25,13.08685883
2014-09-26,2.230472881
2014-09-29,16.30240691
2014-09-30,17.66354876
2014-10-01,9.249187529
2014-10-02,4.042584727
2014-10-03,-5.935792927
2014-10-06,3.283727141
2014-10-07,1.870423025
2014-10-08,-26.5294625
2014-10-09,-31.19951908
2014-10-10,-23.69046091
2014-10-13,-5.507825201
2014-10-14,-14.00617668
2014-10-15,-1.886917225
2014-10-16,5.261352102
2014-10-17,6.707811729
2014-10-20,-16.91572341
2014-10-21,-43.28533058
2014-10-22,-28.22005426
2014-10-23,-52.16589384
2014-10-24,-43.13135415
2014-10-27,-32.58780518
2014-10-28,-77.96350635
2014-10-29,-65.52095884
2014-10-30,-61.53450341
2014-10-31,-66.89578414
2014-11-03,-46.44243998
2014-11-04,-35.16720648
2014-11-05,-26.8109152
2014-11-06,-22.51764915
2014-11-07,-22.74227787
2014-11-10,-19.7034012
2014-11-11,-10.28599779
2014-11-12,-3.400017789
2014-11-13,9.044361125
2014-11-14,16.91295706
2014-11-17,23.23344487
2014-11-18,29.92223021
2014-11-19,33.68341929
2014-11-20,16.23705183
2014-11-21,26.71999692
2014-11-24,10.79757312
2014-11-25,19.51097937
2014-11-26,24.19113434
2014-11-28,33.12213386
2014-12-01,33.11997217
2014-12-02,11.6222064
2014-12-03,1.110466923
2014-12-04,5.013737903
2014-12-05,-3.92665717
2014-12-08,9.197650916
2014-12-09,-14.06375353
2014-12-10,-8.659207252
2014-12-11,2.511679512
2014-12-12,9.645856249
2014-12-15,8.809267541
2014-12-16,34.0828363
2014-12-17,-44.73619186
2014-12-18,-65.77812066
2014-12-19,-64.79266044
2014-12-22,-59.53295474
2014-12-23,-57.73885653
2014-12-24,-53.76273343
2014-12-26,-44.75020904
2014-12-29,-30.78749171
2014-12-30,-14.59122136
2014-12-31,20.29010998
2015-01-02,26.18372856
2015-01-05,34.95661148
2015-01-06,32.45475276
2015-01-07,14.07633564
2015-01-08,-17.05744042
2015-01-09,-8.530511202
2015-01-12,3.355347812
2015-01-13,20.31349201
2015-01-14,26.85826507
2015-01-15,29.69614865
2015-01-16,4.450747349
2015-01-20,13.86964458
2015-01-21,17.7003669
2015-01-22,-31.20952143
2015-01-23,-19.06593576
2015-01-26,-29.0332154
2015-01-27,-11.26019524
2015-01-28,2.601480355
2015-01-29,-11.33587584
2015-01-30,-5.242975625
2015-02-02,-10.97542706
2015-02-03,-37.37171348
2015-02-04,-22.11368536
2015-02-05,-34.62329793
2015-02-06,-24.30000461
2015-02-09,-12.95091844
2015-02-10,-16.57098387
2015-02-11,-8.863652624
2015-02-12,-24.720005
2015-02-13,-27.95889231
2015-02-17,-9.870078092
2015-02-18,-4.637552768
2015-02-19,0.393020284
2015-02-20,2.385740506
2015-02-23,11.71845398
2015-02-24,16.97782483
2015-02-25,21.73110686
2015-02-26,29.61201924
2015-02-27,39.74695682
2015-03-02,35.65283962
2015-03-03,44.8138174
2015-03-04,53.34105344
2015-03-05,52.37319817
2015-03-06,43.92067992
2015-03-09,45.96953238
2015-03-10,44.28073064
2015-03-11,39.67859144
2015-03-12,7.578158545
2015-03-13,12.88726181
2015-03-16,11.12196908
2015-03-17,12.08688483
2015-03-18,-2.321073856
2015-03-19,-2.10506514
2015-03-20,-14.33694614
2015-03-23,-7.089519977
2015-03-24,1.082990178
2015-03-25,-18.22412891
2015-03-26,-10.10939791
2015-03-27,-9.861565505
2015-03-30,-25.37165432
2015-03-31,-13.60125011
2015-04-01,-11.29935748
2015-04-02,-8.460359308
2015-04-06,-3.330354607
2015-04-07,2.342045538
2015-04-08,-6.645149709
2015-04-09,-0.964164237
2015-04-10,-2.51958358
2015-04-13,18.99013232
2015-04-14,20.68068453
2015-04-15,10.52844126
2015-04-16,14.76944755
2015-04-17,6.110020044
2015-04-20,-3.396674267
2015-04-21,4.210272621
2015-04-22,6.967686767
2015-04-23,9.079656522
2015-04-24,15.87730906
2015-04-27,19.73952408
2015-04-28,19.22900757
2015-04-29,26.80998274
2015-04-30,3.114617688
2015-05-01,-6.002763511
2015-05-04,-7.548089597
2015-05-05,-8.934384411
2015-05-06,-2.393652888
2015-05-07,0.546971623
2015-05-08,-12.76533404
2015-05-11,-10.02780873
2015-05-12,-3.978178559
2015-05-13,2.033907073
2015-05-14,-13.39445072
2015-05-15,-11.27096015
2015-05-18,-13.4147963
2015-05-19,-6.157621838
2015-05-20,-2.83232842
2015-05-21,4.451272294
2015-05-22,9.506917015
2015-05-26,20.19385821
2015-05-27,-1.246188418
2015-05-28,7.646017953
2015-05-29,17.4710524
2015-06-01,24.12610699
2015-06-02,29.62458473
2015-06-03,17.41072674
2015-06-04,21.400235
2015-06-05,12.24083302
2015-06-08,23.9588735
2015-06-09,24.09747273
2015-06-10,-1.467267555
2015-06-11,-1.294551505
2015-06-12,7.213934341
2015-06-15,22.99149303
2015-06-16,19.02369898
2015-06-17,23.22278057
2015-06-18,0.575287566
2015-06-19,10.2825363
2015-06-22,-1.392457896
2015-06-23,0.308072056
2015-06-24,7.349454166
2015-06-25,13.6846558
2015-06-26,22.18229097
2015-06-29,10.4397574
2015-06-30,8.309809431
2015-07-01,2.312059099
2015-07-02,14.40957855
2015-07-06,18.48618066
2015-07-07,21.5126111
2015-07-08,28.6337766
2015-07-09,33.83016728
2015-07-10,0.304676472
2015-07-13,-37.01191227
2015-07-14,-39.93717169
2015-07-15,-35.6550516
2015-07-16,-46.49962889
2015-07-17,-37.78310931
2015-07-20,-28.3419109
2015-07-21,-18.85595319
2015-07-22,-16.98530108
2015-07-23,-8.689679336
2015-07-24,-10.34712006
2015-07-27,6.620209444
2015-07-28,-9.564078815
2015-07-29,-13.27226322
2015-07-30,-11.14853808
2015-07-31,-10.89027766
2015-08-03,0.663726472
2015-08-04,8.921766285
2015-08-05,11.83677959
2015-08-06,16.42505612
2015-08-07,21.87417449
2015-08-10,4.942285302
2015-08-11,17.09408972
2015-08-12,21.53077331
2015-08-13,23.468277
2015-08-14,19.72062857
2015-08-17,9.214214799
2015-08-18,15.34265623
2015-08-19,23.65865103
2015-08-20,16.90706003
2015-08-21,78.03486353
2015-08-24,106.00221
2015-08-25,68.48519193
2015-08-26,-12.31153821
2015-08-27,-44.48071276
2015-08-28,-42.69769271
2015-08-31,-24.3491355
2015-09-01,-17.62230557
2015-09-02,-58.98237098
