Date,OIS Score
2004-01-05,-60.66044854
2004-01-06,-11.22657233
2004-01-07,0.501539698
2004-01-08,9.820128246
2004-01-09,13.00135459
2004-01-12,19.69533879
2004-01-13,35.41134433
2004-01-14,18.61652003
2004-01-15,13.94890847
2004-01-16,7.596944329
2004-01-20,15.98282337
2004-01-21,4.197747149
2004-01-22,12.08008494
2004-01-23,18.24506079
2004-01-26,1.554438224
2004-01-27,3.692132816
2004-01-28,4.37996745
2004-01-29,10.56010233
2004-01-30,9.909541899
2004-02-02,18.49931942
2004-02-03,26.26369828
2004-02-04,28.45602996
2004-02-05,31.26228495
2004-02-06,2.34441877
2004-02-09,10.52497851
2004-02-10,8.473225555
2004-02-11,-3.72107086
2004-02-12,-1.895206217
2004-02-13,2.894811764
2004-02-17,-3.467584304
2004-02-18,1.736132284
2004-02-19,7.496016015
2004-02-20,15.05870201
2004-02-23,22.6006909
2004-02-24,24.6618677
2004-02-25,18.97273191
2004-02-26,23.9481221
2004-02-27,27.21948942
2004-03-01,16.16194555
2004-03-02,19.99530289
2004-03-03,21.26242259
2004-03-04,23.00215384
2004-03-05,28.59178497
2004-03-08,35.69587518
2004-03-09,43.88553693
2004-03-10,42.69634414
2004-03-11,44.06451971
2004-03-12,11.19367271
2004-03-15,26.79681068
2004-03-16,20.52354927
2004-03-17,-7.943344364
2004-03-18,0.69214823
2004-03-19,1.432456402
2004-03-22,17.93707396
2004-03-23,14.11861707
2004-03-24,10.97543747
2004-03-25,-22.93185132
2004-03-26,-22.20595953
2004-03-29,-36.67396594
2004-03-30,-33.16970229
2004-03-31,-21.2217398
2004-04-01,-17.27990997
2004-04-02,-26.2394063
2004-04-05,-30.23987721
2004-04-06,-18.6710725
2004-04-07,-10.30455806
2004-04-08,3.52373908
2004-04-12,-1.046043283
2004-04-13,6.543625167
2004-04-14,-2.996293891
2004-04-15,4.913038522
2004-04-16,0.421212663
2004-04-19,11.73148037
2004-04-20,4.591777608
2004-04-21,-2.986378931
2004-04-22,-25.20016981
2004-04-23,-25.52104696
2004-04-26,-13.86510954
2004-04-27,-5.996804961
2004-04-28,-6.904786302
2004-04-29,-4.207938572
2004-04-30,3.55728089
2004-05-03,-4.407907076
2004-05-04,0.267232628
2004-05-05,-1.974343342
2004-05-06,11.53640732
2004-05-07,9.919703233
2004-05-10,22.23129663
2004-05-11,11.13897193
2004-05-12,12.97207221
2004-05-13,26.30666195
2004-05-14,29.05090579
2004-05-17,37.81158018
2004-05-18,33.3762739
2004-05-19,35.6161728
2004-05-20,39.44643689
2004-05-21,41.96159094
2004-05-24,43.42856294
2004-05-25,-0.384606744
2004-05-26,5.032821475
2004-05-27,0.636998092
2004-05-28,8.416639449
2004-06-01,22.2067738
2004-06-02,24.01032299
2004-06-03,31.47324793
2004-06-04,31.02786775
2004-06-07,-4.127504232
2004-06-08,-2.823213048
2004-06-09,-3.45674051
2004-06-10,-4.548045763
2004-06-14,0.564222398
2004-06-15,-8.416433048
2004-06-16,-6.020006957
2004-06-17,3.034548938
2004-06-18,5.88500742
2004-06-21,11.52740301
2004-06-22,5.762718502
2004-06-23,-1.320770061
2004-06-24,11.57069569
2004-06-25,17.35738476
2004-06-28,31.018435
2004-06-29,29.24721235
2004-06-30,20.47361926
2004-07-01,18.94963653
2004-07-02,21.6455258
2004-07-06,30.04676372
2004-07-07,30.47895232
2004-07-08,30.78249468
2004-07-09,29.23636409
2004-07-12,25.25243297
2004-07-13,24.48013382
2004-07-14,19.83317032
2004-07-15,29.94561115
2004-07-16,26.0947978
2004-07-19,38.28381279
2004-07-20,23.97438023
2004-07-21,26.84619767
2004-07-22,23.0677522
2004-07-23,23.48695574
2004-07-26,34.78700106
2004-07-27,20.20466903
2004-07-28,20.25382659
2004-07-29,17.28852837
2004-07-30,18.23761721
2004-08-02,20.78678095
2004-08-03,26.40507009
2004-08-04,32.66418364
2004-08-05,27.48058679
2004-08-06,20.18197479
2004-08-09,19.600134
2004-08-10,-4.398644578
2004-08-11,5.212194976
2004-08-12,9.070598037
2004-08-13,3.306222938
2004-08-16,-10.50429352
2004-08-17,-10.59629748
2004-08-18,-24.96240394
2004-08-19,-12.49754444
2004-08-20,-19.86339164
2004-08-23,-15.18000594
2004-08-24,-14.03034526
2004-08-25,-17.81032373
2004-08-26,-11.76158071
2004-08-27,-7.468387881
2004-08-30,-0.519817734
2004-08-31,2.736464182
2004-09-01,6.303537472
2004-09-02,-7.372366521
2004-09-03,-5.553177309
2004-09-07,-2.768454807
2004-09-08,0.53077796
2004-09-09,5.789795439
2004-09-10,5.554540529
2004-09-13,5.149199776
2004-09-14,13.71670794
2004-09-15,22.32976557
2004-09-16,23.2359273
2004-09-17,21.26061567
2004-09-20,24.30068797
2004-09-21,14.69056553
2004-09-22,5.202730106
2004-09-23,7.017222855
2004-09-24,5.668454766
2004-09-27,8.668884564
2004-09-28,0.745907071
2004-09-29,-3.260000068
2004-09-30,2.603634724
2004-10-01,-24.74589822
2004-10-04,-14.93129927
2004-10-05,-5.336314869
2004-10-06,-13.01177666
2004-10-07,-7.423413279
2004-10-08,-3.542179737
2004-10-11,-2.764888055
2004-10-12,4.92256899
2004-10-13,7.252822607
2004-10-14,12.91255845
2004-10-15,1.92694042
