Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,130531,16:00:00,, ,,,,,,,,,1,0,,,,,984.1
,RUT 13R815,Jun 815 Puts,130531,16:00:00,815,P,130621,0.353,0.37,0.25,0.45,-0.054,2,723,-0.989,0.027,7.662,-5.848,-0.725,0,0.25
,RUT 13S815,Jul 815 Puts,130531,16:00:00,815,P,130719,0.295,1.65,1.5,1.8,-0.006,2,235,-3.578,0.075,29.549,-8.704,-5.154,0.001,1.4
,RUT 13U815,Sep 815 Puts,130531,16:00:00,815,P,130920,0.269,7.03,6.2,7.7,-0.011,,49,-9.338,0.118,92.541,-11.011,-30.887,0.016,-1
,RUT 13X815,Dec 815 Puts,130531,16:00:00,815,P,131220,0.258,16.33,15.3,16.5,-0.026,,172,-14.505,0.126,171.035,-10.707,-91.018,0.058,-1
,RUT 13R820,Jun 820 Puts,130531,16:00:00,820,P,130621,0.345,0.41,0.25,0.5,-0.098,2,6223,-1.097,0.031,8.355,-6.086,-0.802,0,0.3
,RUT 13S820,Jul 820 Puts,130531,16:00:00,820,P,130719,0.291,1.8,1.65,1.95,-0.011,48,1023,-3.892,0.081,31.624,-9.222,-5.603,0.001,1.45
,RUT 13T820,Aug 820 Puts,130531,16:00:00,820,P,130816,0.278,4.23,3.5,4.8,-0.031,10,746,-6.818,0.106,61.885,-10.918,-15.715,0.006,3.15
,RUT 13U820,Sep 820 Puts,130531,16:00:00,820,P,130920,0.267,7.44,6.6,8.1,-0.019,1,716,-9.862,0.124,96.281,-11.306,-32.615,0.019,6.32
,RUT 13V820,Oct 820 Puts,130531,16:00:00,820,P,131018,0.261,10.3,8.2,11.8,-0.029,,67,-12.044,0.132,122.569,-11.249,-49.441,0.032,-1
