DATE,OPEN,HIGH,LOW,CLOSE,VOLU,OPEN INT,CALL VOLU,PUT VOLU,CALL OI,PUT OI,CALL DVOL,PUT DVOL,IV,SV,IV30,IV60,IV90,IV1YR,IV2YR
02/07/11,15.8875,16.3875,15.8325,16.3775,47144,,1914,612,16222,10487,698,86,355,,363,365,364,361,361
02/08/11,16.3525,16.7975,16.2625,16.7475,41916,,1133,644,16664,10580,656,145,360,,364,363,361,364,364
02/09/11,16.6975,17.1625,16.605,16.6175,38336,,1329,941,16784,10548,821,231,365,,362,364,367,374,374
02/10/11,16.4925,17.295,16.485,17.255,35444,,2178,1388,16933,11079,1055,225,362,,359,367,371,375,375
02/11/11,17.17,17.4925,17.1275,17.4525,24716,,549,592,17475,11544,349,74,360,458,357,372,373,369,369
02/14/11,17.4625,17.6075,17.2075,17.24,33688,,671,354,17475,11544,323,57,374,443,388,364,365,369,369
02/15/11,16.925,17.18,16.7075,16.835,30064,,527,771,17582,11877,213,124,374,444,375,379,376,368,368
02/16/11,16.87,17.0675,16.7075,16.9425,21320,,239,84,17398,11960,106,6,364,401,355,367,367,366,366
02/17/11,16.84,17.00,16.605,16.8825,16864,,338,304,17472,11979,207,94,368,374,357,373,371,365,365
02/18/11,16.855,17.05,16.725,16.96,15604,,1839,221,17413,12195,671,42,357,351,348,359,360,362,362
02/22/11,16.70,17.1275,16.525,16.5375,19180,,1322,791,14094,8250,607,131,386,344,387,389,386,396,396
02/23/11,16.50,16.615,15.57,16.0625,40332,,1532,1868,14728,8586,426,337,406,356,404,407,403,390,390
02/24/11,16.00,16.3175,15.8475,16.14,25656,,219,1762,14488,9201,92,270,389,382,385,390,390,393,393
02/25/11,16.2175,16.7675,16.21,16.505,25980,,318,333,14587,10425,123,76,384,394,384,390,389,398,398
02/28/11,16.5825,16.6525,16.235,16.5575,18028,,480,172,14637,10767,243,21,378,381,382,380,380,392,392
03/01/11,16.57,16.595,15.9525,16.1175,23836,,259,577,14443,10844,70,178,397,379,393,397,397,399,399
03/02/11,16.1075,16.1925,15.6325,15.97,20668,,413,843,14443,10844,90,156,385,393,379,388,391,403,403
03/03/11,16.25,16.6625,16.1725,16.64,27840,,447,493,14538,11566,128,59,372,409,375,380,381,398,398
03/04/11,16.5675,16.87,16.50,16.8325,25368,,199,391,14701,11877,86,66,374,404,377,383,386,399,399
03/07/11,16.86,17.3125,16.4375,16.965,54280,,3594,2249,14683,12075,2054,397,407,407,404,399,396,403,403
03/08/11,17.005,17.6725,16.9775,17.3725,45812,,3667,1282,16070,13679,1701,302,409,426,412,405,398,409,409
03/09/11,17.2275,17.5475,17.025,17.2125,20524,,1389,289,17385,14276,560,51,407,416,406,402,398,414,414
03/10/11,17.00,17.18,16.7925,16.9225,21196,,3242,1271,18003,14287,676,223,403,416,405,407,404,413,413
03/11/11,16.90,17.4425,16.74,17.3625,24704,,1188,355,20010,15029,331,54,404,399,421,430,425,410,410
03/14/11,17.165,17.285,16.835,17.0675,22020,,1090,143,19983,15101,297,33,415,399,414,413,412,416,416
03/15/11,16.50,17.06,16.3875,16.88,24688,,1587,3866,20398,15152,331,265,417,404,411,409,409,417,417
03/16/11,16.805,17.1825,16.5575,16.785,22144,,762,472,20591,18441,86,54,440,406,439,433,428,439,439
03/17/11,17.0625,17.1025,16.60,16.77,16404,,2646,592,21131,18943,2965,173,421,401,421,417,413,431,431
03/18/11,16.335,16.51,15.7525,15.8275,77212,,1943,2964,21131,18943,583,1028,400,434,409,402,396,423,423
03/21/11,16.025,16.4575,16.0075,16.3775,25460,,3033,1166,16411,15025,1589,268,379,438,359,400,402,411,411
03/22/11,16.3725,16.4125,16.0075,16.0475,19048,,972,713,18037,15999,156,139,377,434,360,389,388,401,401
03/23/11,15.9725,16.325,15.825,16.23,18028,,304,1849,17699,16434,101,219,393,391,365,412,404,403,403
03/24/11,16.305,16.47,16.1725,16.3125,17916,,330,399,17843,16687,125,34,385,385,355,408,400,405,405
03/25/11,16.3525,16.775,16.265,16.4475,19804,,975,414,17994,16268,238,152,369,377,349,411,400,403,403
03/28/11,16.47,16.6725,16.1525,16.2775,19908,,509,393,18569,16328,117,77,391,376,367,412,402,407,407
03/29/11,16.17,17.1925,15.9275,17.08,46472,,4922,1525,18646,16418,2862,386,390,399,381,428,410,398,398
03/30/11,17.165,17.64,17.125,17.2575,31680,,2999,917,20328,16661,1195,218,400,413,378,423,402,392,392
03/31/11,17.2725,17.375,16.915,17.0125,26028,,973,390,20341,16541,299,124,381,406,370,399,387,390,390
04/01/11,17.1175,18.53,17.015,18.3075,79940,,9530,2601,20248,16689,4086,780,417,451,410,433,405,399,399
04/04/11,18.49,18.75,18.22,18.6375,46268,,3736,2558,22458,17866,1340,497,416,482,414,429,407,388,388
04/05/11,18.6825,19.2125,18.625,19.0125,34552,,3121,1146,22809,19435,1460,131,426,479,425,431,412,399,399
04/06/11,19.125,19.165,18.26,18.475,35748,,3860,854,23908,19319,2198,145,440,475,440,444,425,410,410
04/07/11,18.4775,18.72,18.125,18.275,26700,,5017,1842,24266,19607,5771,475,419,483,422,426,400,400,400
04/08/11,18.33,18.475,17.79,17.85,30616,,903,812,24369,19077,341,297,408,476,411,426,412,409,409
04/11/11,17.87,18.5725,17.87,18.3225,35552,,2664,542,24078,18953,945,171,444,469,456,442,399,407,407
04/12/11,18.0675,18.75,17.965,18.4925,39464,,1964,608,24736,19396,419,90,437,464,452,446,412,411,411
04/13/11,18.6075,18.7725,18.325,18.74,24576,,3733,505,22212,12402,1575,147,425,456,439,442,418,422,422
04/14/11,18.5075,18.7075,18.1925,18.3525,27792,,975,919,23757,12572,221,133,437,435,423,431,409,415,415
04/15/11,18.3375,18.60,18.2825,18.4675,16688,,1777,324,26452,17299,998,63,423,410,437,424,408,405,405
04/18/11,18.20,18.65,17.885,18.5275,25748,,915,458,17385,6744,434,142,448,422,460,437,420,428,428
04/19/11,18.5525,19.4925,18.525,19.45,54244,,2895,1408,17834,7010,1137,382,462,458,478,445,414,413,413
04/20/11,19.7325,19.8975,19.4525,19.6125,41216,,5952,419,16944,6245,2375,128,442,461,446,438,411,415,415
04/21/11,19.80,19.80,19.39,19.6325,15948,,692,629,19071,6397,216,88,428,462,443,412,403,412,412
04/25/11,19.9625,20.00,19.42,19.6175,34540,,1970,2268,19252,6762,617,435,446,445,458,425,413,412,412
04/26/11,18.725,18.8625,17.34,17.41,184224,,7468,4969,19866,7529,1854,2057,374,465,370,380,380,398,398
04/27/11,17.4925,17.60,17.0475,17.5125,69200,,2155,2484,25332,15266,528,470,377,482,372,383,380,392,392
04/28/11,17.50,18.06,17.38,17.56,57812,,2485,1160,25966,16512,710,230,364,485,359,374,375,390,390
04/29/11,17.575,17.575,16.89,17.115,60436,,1920,1098,26663,16911,729,232,374,503,370,383,382,395,395
05/02/11,17.1225,17.1475,16.325,16.70,68876,,3039,1890,25460,16910,724,670,387,492,383,392,390,396,396
05/03/11,16.605,16.685,16.1175,16.1875,50272,,1317,913,26571,17897,351,208,399,497,408,395,392,398,398
05/04/11,16.1875,16.3675,15.7275,16.33,58636,,1530,710,24923,18464,526,128,407,504,405,406,404,406,406
05/05/11,16.2125,16.5425,15.95,16.2875,49372,,572,456,25510,18757,236,83,421,492,420,418,415,412,412
05/06/11,16.4175,16.8125,16.22,16.50,51424,,960,366,25802,18840,459,59,396,490,395,398,396,403,403
05/09/11,16.50,16.6925,16.385,16.4225,35984,,422,668,25789,18753,99,152,408,474,405,399,398,403,403
05/10/11,16.44,16.8875,16.3825,16.85,42124,,805,205,25853,18734,346,31,391,455,393,386,387,395,395
05/11/11,16.7775,17.23,16.77,17.1825,60300,,858,229,28500,18895,233,22,381,449,380,380,383,393,393
05/12/11,17.0675,17.3125,16.94,17.015,39624,,606,4683,28825,19097,97,1645,385,436,384,386,390,402,402
05/13/11,17.055,17.155,16.585,16.73,33252,,658,490,28896,23522,127,132,394,428,391,385,389,401,401
05/16/11,16.5725,16.715,16.105,16.1825,36684,,977,781,28970,23669,251,138,417,449,413,408,410,414,414
05/17/11,16.0925,16.2125,15.39,16.0225,75716,,2305,2496,26978,23867,581,847,437,471,424,416,416,416,416
05/18/11,16.4525,16.9075,16.3775,16.7775,64624,,2039,1376,28064,24815,393,244,396,493,385,400,403,408,408
05/19/11,16.8725,16.9375,16.475,16.7225,31180,,441,1608,30452,25259,97,475,383,477,376,389,394,404,404
05/20/11,16.735,16.8475,16.095,16.3575,39972,,1292,773,30464,25666,205,260,392,486,386,400,403,411,411
05/23/11,16.1275,16.3725,16.00,16.25,28688,,977,550,17611,18748,325,161,398,484,396,403,407,413,413
05/24/11,16.255,16.3425,16.015,16.05,21004,,395,1340,17844,18908,148,375,382,435,377,391,399,414,414
05/25/11,15.9625,16.1375,15.655,16.0125,38340,,1863,662,18012,19538,457,167,369,428,362,381,390,411,411
05/26/11,15.83,16.4175,15.83,16.405,34740,,604,268,17951,19413,147,71,361,423,355,377,386,406,406
05/27/11,16.4425,16.5875,16.2825,16.3475,17464,,356,334,18074,19313,85,47,354,418,349,371,382,405,405
05/31/11,16.48,16.565,16.0575,16.295,28260,,331,781,18240,19321,104,65,359,396,359,370,380,406,406
06/01/11,16.26,16.775,16.26,16.6575,58148,,1089,430,18313,19783,216,56,367,393,367,381,388,403,403
06/02/11,16.6225,16.9625,16.365,16.54,45100,,528,422,19500,20071,83,58,379,387,379,390,397,412,412
06/03/11,16.35,17.2475,16.325,16.64,42688,,1245,393,18890,20088,307,116,374,394,377,386,393,406,406
06/06/11,16.6375,16.72,16.2225,16.2825,27012,,501,514,19618,20196,245,101,415,404,414,408,413,420,420
06/07/11,16.315,16.535,16.1525,16.165,27672,,590,461,18918,20329,62,95,401,399,401,402,406,418,418
06/08/11,16.1275,16.14,15.575,15.6275,43328,,1091,1229,19184,20559,224,186,432,409,425,419,421,424,424
06/09/11,15.665,16.3725,15.5225,16.3175,73944,,1652,561,19467,21589,404,119,406,415,401,403,407,413,413
06/10/11,16.5625,16.7675,15.995,16.03,58892,,1509,991,20552,21244,124,212,410,444,406,409,414,417,417
06/13/11,16.5075,17.125,16.3125,16.9925,85524,,2867,1324,20716,21802,683,171,431,456,415,415,419,423,423
06/14/11,17.22,17.475,17.1525,17.42,64052,,1962,1590,21494,21866,712,406,401,468,401,409,417,418,418
06/15/11,17.225,17.3975,16.93,17.0175,42752,,1074,799,22048,20898,297,95,422,423,409,417,425,422,422
06/16/11,16.995,17.235,16.7425,17.005,53580,,818,1169,21619,22344,281,286,422,415,418,426,434,431,431
06/17/11,17.3975,17.4575,16.785,17.0175,76464,,1848,1009,21463,22647,395,156,425,414,404,416,429,430,430
06/20/11,17.015,18.0175,16.91,17.9675,61360,,2712,1106,16448,16501,1285,489,418,426,394,448,446,435,435
06/21/11,18.0875,18.6725,18.0025,18.405,80512,,2404,1999,17725,13292,990,653,424,444,402,454,449,434,434
06/22/11,18.3625,18.725,18.0425,18.07,39248,,1326,1726,18827,14262,384,359,420,447,399,451,449,438,438
06/23/11,17.78,18.4225,17.6025,18.405,46376,,1144,648,18827,14262,556,160,436,458,420,462,458,444,444
06/24/11,18.3475,18.6925,18.115,18.5925,149672,,1599,537,20157,15291,911,141,453,452,441,473,468,452,452
06/27/11,18.58,18.8125,18.375,18.575,53560,,1529,1135,20284,12554,534,270,448,453,442,468,463,454,454
06/28/11,19.0375,19.42,18.9625,19.40,48288,,2388,804,20690,13148,1177,202,424,456,416,450,451,450,450
06/29/11,19.44,19.7875,19.145,19.2725,52220,,1144,1205,19002,10944,506,348,410,450,401,441,441,442,442
06/30/11,19.275,19.495,19.245,19.3275,26888,,754,256,19198,11679,435,108,392,438,383,430,432,436,436
07/01/11,19.4175,19.9075,19.25,19.8075,36516,,1987,865,19408,11781,690,128,382,413,377,421,423,425,425
07/05/11,19.5975,20.3625,19.4125,20.31,61148,,7237,2268,19408,11781,6160,476,405,421,407,426,422,415,415
07/06/11,20.24,20.30,19.755,19.9275,70936,,1368,1125,18408,9485,367,261,401,420,407,430,426,430,430
07/07/11,20.065,20.38,19.875,19.895,53168,,5225,3655,21302,10653,2072,1617,392,418,389,409,407,417,417
07/08/11,19.5725,19.935,19.35,19.8875,33580,,573,619,25295,13558,208,176,369,413,377,402,407,415,415
07/11/11,19.67,19.99,19.2075,19.30,37944,,801,342,25712,13718,275,111,428,402,437,432,432,437,437
07/12/11,19.2775,19.785,19.1875,19.55,39364,,512,555,26637,16298,172,155,410,377,416,429,432,436,436
07/13/11,19.63,20.175,19.60,19.8325,32324,,1298,1738,26803,16397,434,421,400,393,403,420,426,434,434
07/14/11,19.8925,19.9625,19.4675,19.565,26052,,550,410,26345,15077,239,107,428,385,396,426,434,442,442
07/15/11,19.645,19.675,19.28,19.4825,22748,,1531,828,27115,17780,744,126,412,380,398,409,422,432,432
07/18/11,19.3275,19.5875,19.27,19.42,17724,,453,398,18380,11458,157,92,411,373,403,417,427,439,439
07/19/11,19.6175,20.665,19.5575,20.60,61424,,4131,1674,18557,11583,1322,412,400,365,400,400,410,427,427
07/20/11,20.61,20.61,20.20,20.2975,32640,,1139,2129,19922,9289,436,488,417,377,423,412,420,435,435
07/21/11,20.3675,20.7375,20.0725,20.105,52336,,1187,1435,20517,10727,352,472,414,365,422,407,416,431,431
07/22/11,20.1325,20.2325,19.805,19.9175,59652,,2256,2126,21795,11340,570,797,417,361,425,408,420,435,435
07/25/11,19.75,19.925,19.4375,19.6475,65480,,3585,2977,22456,12068,1045,1159,445,357,459,424,429,443,443
07/26/11,19.7475,20.5425,18.675,18.8625,191232,,4893,7572,23920,15925,869,3134,374,372,381,392,409,433,433
07/27/11,18.74,18.9075,17.985,18.0125,62104,,2984,2669,24978,16192,548,827,398,419,396,410,426,453,453
07/28/11,17.9375,18.9475,17.80,18.625,76000,,1681,644,24083,19409,358,211,389,423,381,408,413,443,443
07/29/11,18.2775,18.6975,18.08,18.3525,47400,,983,546,25615,17478,195,167,405,448,399,420,429,456,456
08/01/11,18.6575,18.915,18.05,18.2175,42316,,1115,977,24368,19867,317,420,395,446,392,412,429,452,452
08/02/11,17.985,18.4125,17.2425,17.295,54900,,7205,594,24308,20007,1368,222,408,476,422,428,437,463,463
08/03/11,17.1075,17.5875,16.515,17.5325,83852,,3052,2490,28920,21123,1056,645,408,526,407,425,440,464,464
08/04/11,17.2875,17.32,16.0325,16.1975,72896,,2742,819,30309,20720,625,476,506,556,518,502,501,502,502
08/05/11,16.5075,16.6925,15.1625,15.66,104968,,1577,1627,26265,21192,364,838,531,604,531,513,520,522,522
08/08/11,14.88,15.2725,13.5925,13.9825,113096,,2911,3148,25329,21564,811,1860,701,662,771,667,637,615,615
08/09/11,14.5525,15.35,13.8725,15.32,79076,,486,787,16391,17130,206,287,648,704,644,588,565,550,550
08/10/11,15.4125,15.7225,14.7375,14.77,54648,,3577,323,26586,22748,580,161,687,749,708,637,611,588,588
08/11/11,14.93,15.9875,14.645,15.735,50316,,1699,336,20988,19265,586,139,632,758,617,587,579,565,565
08/12/11,15.8925,16.1025,15.6825,15.9325,33548,,480,767,27425,22746,195,244,568,774,555,549,550,548,548
08/15/11,16.1825,16.5075,15.905,16.49,43708,,596,687,26621,22304,223,244,546,753,548,511,508,526,526
08/16/11,16.2225,16.3575,15.71,15.86,50620,,1544,475,28732,22072,289,225,590,716,579,555,548,542,542
08/17/11,16.1425,16.1775,14.635,14.785,71268,,1494,1766,27208,22164,435,474,575,751,623,568,556,556,556
08/18/11,14.3075,14.335,13.66,13.9575,108956,,4735,1182,21734,20192,1923,638,693,828,706,657,634,598,598
08/19/11,13.755,14.525,13.155,13.195,59644,,1442,2165,18493,19207,246,907,693,841,723,710,685,626,626
08/22/11,13.895,14.3125,13.685,13.9975,62684,,649,651,9432,14470,238,264,656,862,680,640,626,586,586
08/23/11,14.2425,15.8525,13.9825,15.6575,99032,,1666,1919,9987,14819,739,777,612,882,617,602,591,560,560
08/24/11,15.6575,15.92,15.3725,15.73,44972,,373,975,16294,15189,156,342,608,916,615,599,588,552,552
08/25/11,15.78,15.93,14.875,14.9025,52044,,1040,294,16317,15092,160,88,640,882,654,625,612,571,571
08/26/11,14.8075,16.92,14.675,16.875,97668,,3321,1399,14289,14810,1593,353,592,942,623,589,572,516,516
08/29/11,17.1175,17.80,16.9825,17.5275,81796,,1566,555,18333,14055,588,204,552,1022,552,553,541,506,506
08/30/11,17.36,18.295,17.2875,18.09,79916,,1919,591,19410,14323,1238,257,552,983,551,550,543,534,534
08/31/11,18.205,18.34,17.4625,17.715,67076,,696,750,19933,12093,360,325,551,942,549,560,555,525,525
09/01/11,17.65,18.14,17.3475,17.4325,35984,,222,219,20457,15186,143,101,554,895,552,557,552,540,540
09/02/11,16.9925,17.24,16.625,16.84,39544,,273,576,20443,15195,111,304,582,834,581,586,580,536,536
09/06/11,16.1375,17.1125,16.11,16.9975,40880,,465,665,19954,15268,146,142,626,799,628,609,600,542,542
09/07/11,17.4725,17.805,17.0425,17.79,46296,,789,242,20164,15007,325,35,582,787,578,573,569,547,547
09/08/11,17.5125,18.2025,17.4225,17.6925,59044,,784,1342,20780,15047,301,214,581,771,579,576,573,540,540
09/09/11,17.46,17.475,16.52,16.885,53544,,992,1895,20888,15465,373,518,643,760,644,629,616,560,560
09/12/11,16.55,17.4025,16.5375,17.345,41612,,301,219,20569,16048,130,86,633,739,647,623,612,578,578
09/13/11,17.4325,17.9625,17.2975,17.7925,33888,,923,268,21388,16073,451,66,611,756,612,609,601,564,564
09/14/11,17.9125,19.10,17.55,18.81,86932,,2519,1077,21794,16219,929,207,563,777,560,562,565,557,557
09/15/11,18.85,19.325,18.4275,19.205,76232,,3707,1256,24826,11146,941,131,526,750,531,547,551,554,554
09/16/11,19.35,20.20,19.15,19.72,104880,,2164,1032,24888,10272,783,406,530,766,518,525,533,532,532
