Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,UA,UA Common,140723,16:00:00,, ,,,,60.62,61,,20115,,1,0,,,,,60.63
,UA 14G56D25,JulW4 56 Calls,140723,16:00:00,56.0,C,140726,,5.13,4.6,5.4,-0.025,43,279,80.631,5.65,1.393,-22.488,0.371,0.817,4.86
,UA 14H56D1,AugW1 56 Calls,140723,16:00:00,56.0,C,140802,,5.55,4.6,5.6,-0.081,163,95,77.553,4.475,2.988,-10.237,1.139,0.774,5.08
,UA 14H56D8,AugW2 56 Calls,140723,16:00:00,56.0,C,140809,,5.7,4.7,5.7,-0.088,120,4,75.612,4.4,4.029,-6.671,1.891,0.755,5.21
,UA 14H56,Aug 56 Calls,140723,16:00:00,56.0,C,140816,,5.86,5.2,5.8,-0.061,2,,74.586,4.186,4.92,-5.187,2.611,0.741,5.5
,UA 14H56D22,AugW4 56 Calls,140723,16:00:00,56.0,C,140823,0.387,5.91,5,6.1,-0.061,,,72.248,4.445,5.632,-3.309,3.351,0.73,-1
,UA 14H56D29,AugW5 56 Calls,140723,16:00:00,56.0,C,140830,0.358,5.95,5.1,6.1,-0.059,,,69.689,4.763,6.266,-2.796,4.089,0.72,-1
,UA 14S56D25,JulW4 56 Puts,140723,16:00:00,56.0,P,140726,1.049,0.63,0.5,0.75,-0.008,685,6280,-18.46,4.571,1.49,-26.451,-0.1,0.183,0.66
,UA 14T56D1,AugW1 56 Puts,140723,16:00:00,56.0,P,140802,0.628,0.91,0.65,0.9,-0.148,21,321,-22.376,4.474,2.984,-9.109,-0.393,0.226,0.82
,UA 14T56D8,AugW2 56 Puts,140723,16:00:00,56.0,P,140809,0.521,1.08,0.8,1.05,-0.144,4,5,-23.999,4.302,4.037,-6.019,-0.718,0.245,0.95
,UA 14T56,Aug 56 Puts,140723,16:00:00,56.0,P,140816,0.465,1.23,0.95,1.15,-0.146,,7,-25.486,4.206,4.917,-4.642,-1.067,0.259,-1
,UA 14T56D22,AugW4 56 Puts,140723,16:00:00,56.0,P,140823,0.427,1.37,1.05,1.25,-0.161,6,,-23.437,3.722,5.701,-3.817,-1.44,0.27,1.3
,UA 14T56D29,AugW5 56 Puts,140723,16:00:00,56.0,P,140830,0.407,1.52,1.15,1.4,-0.161,10,,-23.113,4.251,6.418,-3.348,-1.834,0.28,1.29
,UA 14G56.5D25,JulW4 56.5 Calls,140723,16:00:00,56.5,C,140726,,4.74,4.3,5.1,-0.008,2,132,77.681,6.084,1.527,-25.167,0.361,0.789,4.67
,UA 14H56.5D1,AugW1 56.5 Calls,140723,16:00:00,56.5,C,140802,,5.17,4.2,5.2,-0.091,,60,75.233,4.755,3.156,-10.768,1.112,0.748,-1
,UA 14H56.5D8,AugW2 56.5 Calls,140723,16:00:00,56.5,C,140809,,5.33,4.5,5.3,-0.081,,9,73.338,4.627,4.229,-6.974,1.845,0.73,-1
,UA 14H56.5,Aug 56.5 Calls,140723,16:00:00,56.5,C,140816,,5.5,4.8,5.4,-0.073,,,72.422,4.384,5.135,-5.387,2.55,0.717,-1
,UA 14H56.5D22,AugW4 56.5 Calls,140723,16:00:00,56.5,C,140823,0.38,5.56,4.7,5.6,-0.074,,,69.959,4.597,5.876,-3.421,3.269,0.707,-1
,UA 14H56.5D29,AugW5 56.5 Calls,140723,16:00:00,56.5,C,140830,0.367,5.61,4.8,5.8,-0.055,,,67.244,4.861,6.54,-3.049,3.983,0.698,-1
,UA 14S56.5D25,JulW4 56.5 Puts,140723,16:00:00,56.5,P,140726,1.04,0.73,0.55,0.9,-0.007,65,307,-20.856,4.976,1.601,-28.656,-0.113,0.211,0.8
,UA 14T56.5D1,AugW1 56.5 Puts,140723,16:00:00,56.5,P,140802,0.62,1.03,0.75,1,-0.15,40,124,-24.696,4.755,3.153,-9.562,-0.434,0.252,0.94
,UA 14T56.5D8,AugW2 56.5 Puts,140723,16:00:00,56.5,P,140809,0.519,1.21,0.95,1.15,-0.132,4,3,-26.225,4.536,4.234,-6.355,-0.786,0.27,1.1
,UA 14T56.5,Aug 56.5 Puts,140723,16:00:00,56.5,P,140816,0.462,1.36,1.05,1.3,-0.136,5,4,-27.662,4.409,5.132,-4.851,-1.162,0.283,1.45
,UA 14T56.5D22,AugW4 56.5 Puts,140723,16:00:00,56.5,P,140823,0.424,1.5,1.15,1.4,-0.15,,,-25.667,4.996,5.917,-3.964,-1.552,0.293,-1
,UA 14T56.5D29,AugW5 56.5 Puts,140723,16:00:00,56.5,P,140830,0.406,1.64,1.3,1.55,-0.131,,13,-25.585,5.442,6.638,-3.49,-1.966,0.302,-1
,UA 14G57D25,JulW4 57 Calls,140723,16:00:00,57.0,C,140726,,4.36,4.1,4.6,-0.002,60,187,74.527,6.478,1.656,-27.782,0.349,0.759,4.4
,UA 14H57D1,AugW1 57 Calls,140723,16:00:00,57.0,C,140802,,4.8,4.2,4.8,-0.062,38,97,72.778,5.023,3.315,-11.262,1.081,0.721,4.48
,UA 14H57D8,AugW2 57 Calls,140723,16:00:00,57.0,C,140809,,4.98,4.3,5,-0.066,,,70.957,4.843,4.417,-7.253,1.796,0.705,-1
,UA 14H57,Aug 57 Calls,140723,16:00:00,57.0,C,140816,0.432,5.15,4.5,5.1,-0.068,,5,70.166,4.571,5.336,-4.66,2.484,0.693,-1
,UA 14H57D22,AugW4 57 Calls,140723,16:00:00,57.0,C,140823,0.422,5.22,4.7,5.4,-0.033,,,67.601,4.733,6.103,-4.115,3.181,0.683,-1
,UA 14H57D29,AugW5 57 Calls,140723,16:00:00,57.0,C,140830,0.388,5.29,4.8,5.4,-0.036,,,64.761,4.937,6.79,-3.429,3.873,0.675,-1
,UA 14S57D25,JulW4 57 Puts,140723,16:00:00,57.0,P,140726,1.038,0.84,0.7,1,0.012,86,126,-23.452,5.38,1.71,-31.098,-0.127,0.241,0.86
,UA 14T57D1,AugW1 57 Puts,140723,16:00:00,57.0,P,140802,0.624,1.16,0.9,1.15,-0.116,4,89,-27.151,5.026,3.313,-10.28,-0.479,0.279,1.02
,UA 14T57D8,AugW2 57 Puts,140723,16:00:00,57.0,P,140809,0.514,1.35,1.05,1.3,-0.13,,4,-28.565,4.77,4.42,-6.6,-0.859,0.295,-1
,UA 14T57,Aug 57 Puts,140723,16:00:00,57.0,P,140816,0.456,1.51,1.2,1.4,-0.139,35,50,-29.95,4.663,5.335,-5.003,-1.261,0.307,1.29
,UA 14T57D22,AugW4 57 Puts,140723,16:00:00,57.0,P,140823,0.422,1.64,1.3,1.55,-0.131,,,-28.412,5.804,6.124,-4.117,-1.671,0.317,-1
,UA 14T57D29,AugW5 57 Puts,140723,16:00:00,57.0,P,140830,0.404,1.78,1.45,1.7,-0.115,,36,-28.476,5.804,6.849,-3.608,-2.107,0.325,-1
,UA 14G57.5D25,JulW4 57.5 Calls,140723,16:00:00,57.5,C,140726,,4,3.9,4.4,0.038,69,335,71.192,6.821,1.777,-30.264,0.337,0.727,3.88
,UA 14H57.5D1,AugW1 57.5 Calls,140723,16:00:00,57.5,C,140802,,4.44,3.9,4.5,-0.054,77,363,70.195,5.278,3.464,-11.71,1.048,0.692,4.08
,UA 14H57.5D8,AugW2 57.5 Calls,140723,16:00:00,57.5,C,140809,0.51,4.63,4.3,4.6,-0.039,12,12,68.475,5.043,4.591,-6.86,1.743,0.678,4.25
,UA 14H57.5,Aug 57.5 Calls,140723,16:00:00,57.5,C,140816,0.457,4.81,4.5,4.7,-0.044,50,278,67.822,4.746,5.522,-5.227,2.414,0.667,4.55
,UA 14H57.5D22,AugW4 57.5 Calls,140723,16:00:00,57.5,C,140823,0.418,4.89,4.5,4.9,-0.039,,17,65.185,4.851,6.309,-4.23,3.09,0.659,-1
,UA 14H57.5D29,AugW5 57.5 Calls,140723,16:00:00,57.5,C,140830,0.385,4.98,4.5,5,-0.046,,,62.275,4.911,7.016,-3.529,3.758,0.652,-1
,UA 14I57.5,Sep 57.5 Calls,140723,16:00:00,57.5,C,140920,0.366,5.51,5.1,5.4,-0.047,4,19,65.701,4.049,8.926,-2.754,5.579,0.634,4.76
,UA 14J57.5,Oct 57.5 Calls,140723,16:00:00,57.5,C,141018,0.352,5.94,5.7,5.9,-0.024,121,945,63.702,3.669,10.954,-2.219,7.985,0.619,5.8
,UA 15A57.5,Jan15 57.5 Calls,140723,16:00:00,57.5,C,150117,0.342,7.68,7.2,7.5,-0.043,6,1033,61.081,2.659,15.942,-1.546,14.962,0.585,7.02
,UA 16A57.5,Jan16 57.5 Calls,140723,16:00:00,57.5,C,160115,0.344,12.19,11.4,12.1,-0.036,,90,59.774,1.526,27.525,-0.934,39.719,0.559,-1
,UA 14S57.5D25,JulW4 57.5 Puts,140723,16:00:00,57.5,P,140726,1.001,0.97,0.8,1.05,-0.046,45,606,-26.246,5.776,1.812,-31.779,-0.142,0.273,1.02
,UA 14T57.5D1,AugW1 57.5 Puts,140723,16:00:00,57.5,P,140802,0.622,1.31,1.05,1.3,-0.103,52,50,-29.736,5.283,3.462,-10.812,-0.525,0.308,1.2
,UA 14T57.5D8,AugW2 57.5 Puts,140723,16:00:00,57.5,P,140809,0.511,1.5,1.2,1.45,-0.117,,,-31.082,5.224,4.592,-6.869,-0.934,0.322,-1
,UA 14T57.5,Aug 57.5 Puts,140723,16:00:00,57.5,P,140816,0.454,1.67,1.35,1.55,-0.132,41,667,-32.35,4.873,5.521,-5.179,-1.364,0.333,1.45
,UA 14T57.5D22,AugW4 57.5 Puts,140723,16:00:00,57.5,P,140823,0.419,1.79,1.45,1.7,-0.12,,14,-31.46,6.135,6.318,-4.241,-1.798,0.341,-1
,UA 14T57.5D29,AugW5 57.5 Puts,140723,16:00:00,57.5,P,140830,0.403,1.94,1.6,1.9,-0.098,5,,-31.531,6.127,7.047,-3.723,-2.256,0.348,1.9
,UA 14U57.5,Sep 57.5 Puts,140723,16:00:00,57.5,P,140920,0.361,2.37,1.95,2.2,-0.124,54,20,-31.531,4.88,8.925,-2.713,-3.705,0.366,2.1
,UA 14V57.5,Oct 57.5 Puts,140723,16:00:00,57.5,P,141018,0.351,2.79,2.55,2.75,-0.05,27,450,-37.1,3.541,10.952,-2.205,-5.704,0.381,2.72
,UA 15M57.5,Jan15 57.5 Puts,140723,16:00:00,57.5,P,150117,0.344,4.59,4,4.4,-0.085,,790,-34.515,3.041,15.949,-1.527,-13.088,0.415,-1
,UA 16M57.5,Jan16 57.5 Puts,140723,16:00:00,57.5,P,160115,0.342,8.43,7.7,8.3,-0.051,,137,-41.713,1.591,27.529,-0.809,-44.35,0.441,-1
,UA 14G58D25,JulW4 58 Calls,140723,16:00:00,58.0,C,140726,,3.65,3.5,3.9,0.014,156,3519,67.702,7.108,1.885,-32.544,0.323,0.693,3.6
,UA 14H58D1,AugW1 58 Calls,140723,16:00:00,58.0,C,140802,0.616,4.1,3.8,4.1,-0.037,23,289,67.491,5.515,3.598,-11.196,1.013,0.663,3.71
