Symbol,Calc IV
EA,
EA 15H81D7,0.603170471
EA 15H80D7,0.538901379
EA 15H79.5D7,0.581159607
EA 15H79D7,0.542463035
EA 15H78.5D7,0.515245844
EA 15H78D7,0.537711808
EA 15H77.5D7,0.544166759
EA 15H77D7,0.540834145
EA 15H76.5D7,0.539007872
EA 15H76D7,0.540935695
EA 15H75.5D7,0.538183775
EA 15H75D7,0.54104258
EA 15H74.5D7,0.537962018
EA 15H74D7,0.538656522
EA 15H73.5D7,0.535829758
EA 15H73D7,0.538589912
EA 15H72.5D7,0.5387916
EA 15H72D7,0.537540811
EA 15H71.5D7,0.537033897
EA 15H71D7,0.536099726
EA 15H70.5D7,0.538246444
EA 15H70D7,0.53768362
EA 15H69.5D7,0.545572154
EA 15H69D7,0.536763687
EA 15H68.5D7,0.543611232
EA 15H68D7,0.546887197
EA 15H67.5D7,0.554007871
EA 15H67D7,0.549269579
EA 15H66.5D7,0.557427747
EA 15H66D7,0.542306243
EA 15H81D14,0.43833188
EA 15H80D14,0.457471046
EA 15H79.5D14,0.448769974
EA 15H79D14,0.414727301
EA 15H78.5D14,0.411715324
EA 15H78D14,0.425134346
EA 15H77.5D14,0.423513805
EA 15H77D14,0.423131189
EA 15H76.5D14,0.423660132
EA 15H76D14,0.422902855
EA 15H75.5D14,0.422756147
EA 15H75D14,0.423035245
EA 15H74.5D14,0.423596135
EA 15H74D14,0.423467782
EA 15H73.5D14,0.42599045
EA 15H73D14,0.425983942
EA 15H72.5D14,0.426798347
EA 15H72D14,0.425054923
EA 15H71.5D14,0.4265586
EA 15H71D14,0.428838618
EA 15H70.5D14,0.423282949
EA 15H70D14,0.428049871
EA 15H69.5D14,0.425677571
EA 15H69D14,0.429820204
EA 15H68.5D14,0.431398557
EA 15H68D14,0.440677868
EA 15H67.5D14,0.436911302
EA 15H67D14,0.447328751
EA 15H66.5D14,0.449806502
EA 15H66D14,0.442763977
EA 15H81,0.391084575
EA 15H80.5,0.390531994
EA 15H80,0.385095932
EA 15H79.5,0.3842751
EA 15H79,0.383056857
EA 15H78.5,0.381394132
