DATE,OPEN,HIGH,LOW,CLOSE,VOLU,OPEN INT,CALL VOLU,PUT VOLU,CALL OI,PUT OI,CALL DVOL,PUT DVOL,IV,SV,IV30,IV60,IV90,IV1YR,IV2YR
110808,19.53,19.69,18.15,18.15,103487,,,,,,,,,,,,,,
110809,18.27,18.64,17.58,18.60,141818,,,,,,,,,,,,,,
110810,18.26,18.26,17.52,17.62,137350,,,,,,,,,,,,,,
110811,18.28,19.38,18.04,19.15,152505,,,,,,,,,,,,,,
110812,19.13,19.94,18.75,19.93,110475,,,,,,,,,885,,,,,
110815,19.95,20.39,19.79,20.26,54434,,,,,,,,,835,,,,,
110816,20.11,20.24,19.67,20.02,46055,,,,,,,,,777,,,,,
110817,20.14,20.41,19.53,19.91,63119,,,,,,,,,695,,,,,
110818,19.34,19.39,18.41,18.87,75302,,,,,,,,,727,,,,,
110819,18.53,19.82,18.50,19.31,102708,,,,,,,,,710,,,,,
110822,19.68,19.94,19.44,19.60,64359,,,,,,,,,699,,,,,
110823,19.66,20.31,19.07,20.31,55559,,,,,,,,,676,,,,,
110824,20.23,20.43,19.84,20.34,33851,,,,,,,,,663,,,,,
110825,20.44,20.51,19.98,20.40,60451,,,,,,,,,633,,,,,
110826,20.27,21.62,20.26,21.50,114603,,,,,,,,,637,,,,,
110829,21.78,22.69,21.68,22.28,82128,,,,,,,,,675,,,,,
110830,22.18,23.00,22.02,22.56,85067,,,,,,,,,655,,,,,
110831,22.37,22.78,22.32,22.58,89776,,,,,,,,,624,,,,,
110901,22.53,22.80,21.93,21.96,68534,,,,,,,,,593,,,,,
110902,21.73,22.13,21.16,21.99,65805,,,,,,,,,597,,,,,
110906,21.38,22.00,21.04,21.89,64887,,,,,,,,,550,,,,,
110907,22.15,22.73,22.15,22.55,185059,,,,,,,,,557,,,,,
110908,22.47,22.50,21.93,22.08,92579,,,,,,,,,532,,,,,
110909,21.82,21.96,21.05,21.36,100486,,,,,,,,,525,,,,,
110912,21.19,22.17,21.10,22.07,104595,,,,,,,,,503,,,,,
110913,22.19,22.20,21.71,22.11,107820,,,,,,,,,500,,,,,
110914,22.24,23.00,22.09,22.68,94872,,,,,,,,,506,,,,,
110915,23.00,23.06,22.54,22.97,82310,,,,,,,,,485,,,,,
110916,22.98,23.14,22.70,23.01,88853,,,,,,,,,478,,,,,
110919,22.67,23.00,22.47,22.87,68278,,,,,,,,,438,,,,,
110920,22.93,23.57,22.74,22.91,67991,,,,,,,,,443,,,,,
110921,23.00,23.31,21.94,21.95,89014,,,,,,,,,447,,,,,
110922,21.29,21.39,20.46,20.76,99320,,,,,,,,,465,,,,,
110923,20.71,21.37,20.52,21.25,68227,,,,,,,,,462,,,,,
110926,21.51,22.08,21.19,21.76,99524,,,,,,,,,461,,,,,
110927,22.17,22.36,21.80,21.92,115401,,,,,,,,,459,,,,,
110928,22.13,22.22,20.97,21.01,64510,,,,,,,,,463,,,,,
110929,21.39,21.65,20.07,20.62,78931,,,,,,,,,513,,,,,
110930,20.42,20.99,20.33,20.45,67197,,,,,,,,,525,,,,,
111003,20.38,20.80,19.76,19.76,65279,,,,,,,,,526,,,,,
111004,19.48,20.27,18.99,20.27,78758,,,,,,,,,542,,,,,
111005,20.31,21.01,20.07,20.96,90362,,,,,,,,,580,,,,,
111006,21.00,22.56,20.85,22.56,124541,,,,,,,,,627,,,,,
111007,22.55,22.70,22.18,22.38,71324,,,,,,,,,643,,,,,
111010,22.75,23.59,22.25,23.59,73468,,,,,,,,,628,,,,,
111011,23.49,23.85,23.23,23.51,56218,,,,,,,,,632,,,,,
111012,23.72,23.99,23.50,23.73,58903,,,,,,,,,596,,,,,
111013,23.64,23.88,23.34,23.83,56631,,,,,,,,,566,,,,,
111014,24.09,24.54,23.94,24.54,47767,,,,,,,,,587,,,,,
111017,24.37,24.60,23.75,23.83,46147,,,,,,,,,565,,,,,
111018,24.07,24.79,23.79,24.51,68905,,,,,,,,,550,,,,,
111019,24.39,24.59,23.57,23.62,61679,,,,,,,,,512,,,,,
111020,23.50,23.79,22.81,23.41,71756,,,,,,,,,527,,,,,
111021,23.62,24.16,23.28,23.58,81779,,,,,,,,,521,,,,,
111024,23.87,24.95,23.87,24.94,73328,,,,,,,,,525,,,,,
111025,24.73,24.86,24.26,24.47,70540,,,,,,,,,518,,,,,
111026,24.91,24.93,23.74,24.39,83555,,,,,,,,,504,,,,,
111027,25.00,25.28,23.82,24.50,187238,,,,,,,,,492,,,,,
111028,23.56,24.88,23.56,24.10,94028,,,,,,,,,508,,,,,
111031,23.87,23.87,23.19,23.35,64393,,,,,,,,,514,,,,,
111101,22.54,23.02,22.27,22.46,86885,,,,,,,,,508,,,,,
111102,22.85,23.66,22.76,23.48,87742,,,,,,,,,508,,,,,
111103,23.76,24.51,23.33,24.38,128957,,,,,,,,,502,,,,,
111104,24.13,26.13,23.87,25.20,151989,,,,,,,,,520,,,,,
111107,25.11,25.20,24.18,24.49,63920,,,,,,,,,534,,,,,
111108,24.65,24.91,23.87,24.24,86991,,,,,,,,,531,,,,,
111109,23.68,23.77,22.98,23.03,46602,,,,,,,,,553,,,,,
111110,23.33,23.95,23.33,23.57,74498,,,,,,,,,535,,,,,
111111,23.79,24.08,23.64,23.90,51493,,,,,,,,,538,,,,,
111114,23.74,24.07,23.48,23.75,46491,,,,,,,,,516,,,,,
111115,23.64,23.94,23.34,23.81,44256,,,,,,,,,492,,,,,
111116,23.72,24.00,22.99,23.06,56838,,,,,,,,,476,,,,,
111117,22.96,22.99,22.18,22.32,61294,,,,,,,,,494,,,,,
111118,22.45,22.47,21.92,21.99,42416,,,,,,,,,484,,,,,
