DATE,OPEN,HIGH,LOW,CLOSE,VOLU,OPEN INT,CALL VOLU,PUT VOLU,CALL OI,PUT OI,CALL DVOL,PUT DVOL,IV,SV,IV30,IV60,IV90,IV1YR,IV2YR
08/01/05,54.59,54.66,54.39,54.49,47861,,,,1022,192,,,187,,,,,,
08/02/05,54.80,54.99,54.70,54.88,24437,,10,60,1022,192,1,12,156,,,,,,
08/03/05,55.10,55.32,55.02,55.29,16821,,60,,1022,192,12,,152,,,,,,
08/04/05,54.96,55.28,54.83,54.84,27168,,47,,1174,262,3,,147,,,,,,
08/05/05,54.91,54.91,54.42,54.64,19710,,,7,1297,262,,,194,87,,,,,
08/08/05,55.10,55.11,54.70,54.77,20640,,8,,1342,262,1,,160,93,,,,,
08/09/05,55.17,55.54,55.10,55.47,21082,,46,13,1342,269,4,,145,101,,,,,
08/10/05,56.03,56.28,55.70,55.85,19982,,10,50,1354,269,1,10,153,107,,,,,
08/11/05,56.32,56.78,56.32,56.75,11757,,,40,1423,256,,7,172,117,,,,,
08/12/05,56.40,56.60,56.20,56.40,16066,,,,1457,438,,,164,112,,,,,
08/15/05,56.30,56.61,56.25,56.50,16366,,,,863,96,,,161,105,,,,,
08/16/05,56.30,56.30,55.81,55.89,21636,,,,863,96,,,154,107,,,,,
08/17/05,55.73,55.99,55.70,55.75,29987,,,,863,96,,,155,105,,,,,
08/18/05,55.32,55.32,55.046,55.15,13954,,,,863,73,,,141,110,,,,,
08/19/05,55.44,55.60,55.36,55.42,9204,,16,40,863,73,2,2,163,107,,,,,
08/22/05,55.95,56.20,55.81,56.03,13835,,,,863,73,,,145,109,,,,,
08/23/05,55.55,55.85,55.50,55.79,16820,,,,805,73,,,134,109,,,,,
08/24/05,55.60,55.74,55.20,55.20,11715,,,,805,66,,,128,108,,,,,
08/25/05,55.47,55.62,55.37,55.41,10697,,,,805,66,,,128,105,,,,,
08/26/05,55.59,55.68,55.16,55.23,20659,,20,,837,150,5,,244,102,,,,,
08/29/05,55.00,55.25,54.91,55.20,17015,,,,837,150,,,141,105,,,,,
08/30/05,54.98,55.04,54.71,55.04,16693,,,,837,150,,,137,103,,,,,
08/31/05,55.27,56.05,55.20,56.03,20736,,,,837,150,,,155,107,,,,,
09/01/05,56.47,56.88,56.42,56.70,24826,,34,,837,150,6,,144,117,,,,,
09/02/05,56.88,57.04,56.80,56.90,24264,,,,837,150,,,161,114,,,,,
09/06/05,57.40,57.68,57.31,57.60,15711,,1,15,837,150,,1,162,116,,,,,
09/07/05,57.29,57.50,57.188,57.44,28736,,,,837,71,,,158,110,,,,,
09/08/05,57.17,57.22,56.92,57.00,18471,,,,831,12,,,172,106,,,,,
09/09/05,57.47,57.83,57.40,57.75,13136,,,,831,5,,,183,109,,,,,
09/12/05,57.36,57.47,57.27,57.30,11622,,97,,831,5,24,,176,109,,,,,
09/13/05,57.08,57.15,56.82,56.91,28197,,13,,889,189,4,,166,108,,,,,
09/14/05,57.08,57.25,56.92,56.95,14042,,1,,889,110,,,162,101,,,,,
09/15/05,57.15,57.15,56.91,56.99,24317,,21,,874,110,2,,162,99,,,,,
09/16/05,57.38,57.65,57.21,57.63,19528,,60,,874,21,16,,156,100,,,,,
09/19/05,57.34,57.34,57.06,57.25,31510,,74,,854,190,18,,138,99,,,,,
09/20/05,57.50,57.65,56.90,57.04,19261,,27,,159,104,1,,155,100,,,,,
09/21/05,57.44,57.48,57.01,57.10,23424,,,,159,104,,,165,102,,,,,
09/22/05,57.05,57.12,56.77,57.04,28686,,,,239,119,,,144,101,,,,,
09/23/05,56.83,56.97,56.654,56.80,22735,,50,,239,119,2,,150,100,,,,,
09/26/05,57.32,57.57,57.19,57.42,30198,,,,1658,149,,,155,102,,,,,
09/27/05,57.15,57.40,56.93,57.20,19019,,,,1658,1092,,,163,102,,,,,
09/28/05,57.70,57.89,57.56,57.79,30545,,,,1658,1122,,,162,106,,,,,
09/29/05,57.97,58.57,57.88,58.48,25404,,50,,1658,1033,11,,166,104,,,,,
09/30/05,57.97,58.22,57.866,58.10,27029,,1,,1658,60,,,159,103,,,,,
10/03/05,57.92,58.00,57.734,57.90,19859,,1,,1604,30,,,146,99,,,,,
10/04/05,57.99,58.21,57.51,57.52,20719,,,,1509,1130,,,195,100,,,,,
10/05/05,57.60,57.65,56.99,57.02,28130,,,,1455,1041,,,170,104,,,,,
10/06/05,57.00,57.18,56.33,56.75,33803,,,,1438,69,,,558,112,,,,,
10/07/05,57.00,57.50,56.80,56.95,15558,,,,1438,69,,,211,118,,,,,
10/10/05,56.99,57.05,56.51,56.67,10964,,30,,1438,69,9,,159,122,,,,,
10/11/05,57.06,57.13,56.66,56.74,14978,,,,1438,69,,,169,120,,,,,
10/12/05,56.85,56.93,56.23,56.36,31014,,,,1600,1144,,,179,123,,,,,
10/13/05,55.93,56.33,55.616,56.24,21965,,,110,1585,1144,,9,179,130,,,,,
10/14/05,56.31,56.84,56.16,56.77,17486,,,,1585,1144,,,183,135,,,,,
10/17/05,56.24,56.33,56.01,56.20,29555,,,,1585,1144,,,220,137,,,,,
10/18/05,55.76,55.85,55.47,55.55,30513,,3,,1453,1144,,,199,136,,,,,
10/19/05,54.95,56.00,54.89,56.00,24728,,20,1,1453,1144,3,,180,139,,,,,
10/20/05,55.44,55.46,54.55,54.72,23685,,,,1453,1144,,,189,145,,,,,
10/21/05,55.16,55.33,54.78,55.00,13853,,172,121,1605,1802,33,13,171,146,,,,,
10/24/05,55.22,55.83,55.15,55.82,22233,,3,20,1609,1812,,,166,149,,,,,
10/25/05,55.88,56.14,55.59,55.88,21922,,,,,,,,,148,,,,,
10/26/05,55.95,56.25,55.70,55.78,32558,,3,,1763,1721,,,167,145,,,,,
10/27/05,56.25,56.30,55.60,55.67,15730,,,,1763,1721,,,179,141,,,,,
10/28/05,55.80,56.20,55.57,56.15,37268,,,,1806,1741,,,166,139,,,,,
10/31/05,56.35,56.62,56.20,56.25,48629,,,,1806,1741,,,169,144,,,,,
11/01/05,56.69,56.84,56.50,56.73,27953,,,,1816,1741,,,169,138,,,,,
11/02/05,56.65,57.51,56.64,57.51,30659,,15,,1821,1741,1,,181,139,,,,,
11/03/05,57.58,57.70,57.28,57.48,24713,,2,,1689,759,,,167,139,,,,,
11/04/05,57.42,57.46,56.71,56.95,19514,,,,1832,1769,,,161,139,,,,,
11/07/05,57.05,57.34,56.90,57.28,16301,,6,,1846,1769,,,166,139,,,,,
11/08/05,57.04,57.25,56.92,57.14,39716,,76,,1846,787,5,,170,137,,,,,
11/09/05,56.87,57.20,56.72,57.10,39815,,1,,1846,787,,,188,130,,,,,
11/10/05,57.00,57.126,56.60,57.03,25396,,,,1846,787,,,157,124,,,,,
11/11/05,56.99,57.356,56.99,57.33,18500,,,,1904,1774,,,173,121,,,,,
11/14/05,57.23,57.23,56.77,56.99,23139,,,,1772,792,,,157,117,,,,,
11/15/05,56.66,56.90,56.03,56.68,23822,,,,1772,792,,,166,126,,,,,
11/16/05,56.48,56.59,56.33,56.58,17610,,5,,1772,792,,,157,124,,,,,
11/17/05,57.00,57.55,57.00,57.55,21697,,,,1889,2004,,,159,124,,,,,
11/18/05,57.79,57.95,57.37,57.95,56743,,10,,1889,2004,1,,161,125,,,,,
11/21/05,57.99,58.09,57.68,58.03,21701,,2,,1757,2004,,,146,122,,,,,
11/22/05,57.53,58.26,57.43,58.22,28344,,,,1725,1259,,,151,122,,,,,
11/23/05,58.20,58.55,58.14,58.50,30268,,913,,1725,968,13,,144,128,,,,,
11/25/05,58.14,58.25,57.85,57.94,25829,,,,2743,1950,,,160,125,,,,,
11/28/05,58.12,58.24,57.85,58.09,37985,,,,2743,1950,,,167,121,,,,,
11/29/05,58.17,58.206,57.90,58.00,25747,,,,1380,1950,,,176,114,,,,,
11/30/05,57.88,57.93,57.44,57.55,49603,,,,1380,1950,,,178,118,,,,,
12/01/05,58.17,58.65,58.10,58.63,28475,,,,1380,968,,,143,119,,,,,
12/02/05,58.67,58.95,58.45,58.85,24079,,7,,1380,968,1,,178,120,,,,,
12/05/05,59.21,59.21,58.70,59.11,19748,,8,,1380,968,,,154,118,,,,,
12/06/05,59.21,59.59,59.01,59.29,24628,,3,,1380,968,,,154,119,,,,,
12/07/05,59.21,59.23,58.69,58.90,24337,,20,10,1380,968,8,1,143,122,,,,,
12/08/05,58.89,59.28,58.66,58.89,60192,,3,10,1401,1958,,1,163,120,,,,,
12/09/05,59.25,59.54,59.20,59.48,20444,,23,,1381,1966,4,,166,120,,,,,
12/12/05,60.14,60.25,60.00,60.23,25212,,211,,1381,984,15,,150,124,,,,,
12/13/05,60.16,60.60,60.01,60.52,28622,,,,1258,984,,,157,121,,,,,
12/14/05,60.40,60.62,60.30,60.49,18109,,,,1381,984,,,158,113,,,,,
12/15/05,60.28,60.28,59.77,59.93,50168,,102,,1258,984,13,,159,113,,,,,
12/16/05,60.40,60.60,60.30,60.40,21557,,230,6,1381,984,20,1,160,113,,,,,
12/19/05,60.67,60.67,60.20,60.29,23354,,21,,1381,984,1,,165,107,,,,,
12/20/05,60.42,60.45,60.14,60.30,33139,,7,,823,295,,,160,106,,,,,
12/21/05,60.58,60.65,60.276,60.59,49124,,17,,823,295,2,,159,99,,,,,
12/22/05,60.69,60.95,59.59,60.94,26590,,108,6,823,295,10,,160,101,,,,,
12/23/05,59.58,59.80,59.51,59.80,21427,,10,,823,295,1,,153,111,,,,,
12/27/05,59.90,59.90,59.12,59.25,35438,,46,104,823,295,18,24,151,112,,,,,
12/28/05,59.84,60.00,59.52,59.68,32486,,252,,823,295,29,,156,116,,,,,
12/29/05,59.80,59.99,59.62,59.70,61233,,162,,823,295,15,,154,110,,,,,
12/30/05,59.35,59.47,59.05,59.43,42366,,2,,823,295,,,139,112,,,,,
01/03/06,60.50,61.47,60.28,61.42,77785,,1,,1398,485,,,164,119,,,,,
01/04/06,61.65,61.97,61.54,61.93,52315,,,,1398,485,,,189,131,,,,,
01/05/06,61.62,61.728,61.48,61.62,49538,,2,,1398,484,1,,170,124,,,,,
01/06/06,62.16,62.50,61.99,62.45,53214,,5,12,1398,474,1,2,190,127,,,,,
01/09/06,62.37,62.48,62.19,62.48,30572,,9,,1398,197,1,,179,119,,,,,
01/10/06,61.49,61.92,61.49,61.92,36084,,3,,1398,197,,,151,120,,,,,
01/11/06,61.89,62.48,61.89,62.45,40770,,13,,1468,630,2,,178,124,,,,,
01/12/06,62.10,62.25,61.82,61.94,34384,,2,,1468,630,,,179,120,,,,,
01/13/06,61.79,62.88,61.75,62.18,25821,,,,1468,630,,,188,124,,,,,
01/17/06,61.19,61.41,61.07,61.40,35017,,,51,1505,648,,2,234,136,,,,,
01/18/06,60.67,60.86,60.27,60.57,34448,,,,1527,650,,,175,143,,,,,
01/19/06,60.93,61.34,60.86,61.26,51943,,25,,1526,701,13,,186,143,,,,,
01/20/06,61.40,61.45,60.21,60.33,50974,,56,4,1526,701,8,,174,149,,,,,
01/23/06,60.97,61.26,60.86,61.17,59540,,24,44,1489,711,1,20,179,155,,,,,
01/24/06,61.22,61.78,61.16,61.48,30371,,6,15,1367,666,1,1,180,145,,,,,
01/25/06,61.70,61.85,61.40,61.69,35630,,12,1,1367,656,1,,178,144,,,,,
