DATE,OPEN,HIGH,LOW,CLOSE,VOLU,OPEN INT,CALL VOLU,PUT VOLU,CALL OI,PUT OI,CALL DVOL,PUT DVOL,IV,SV,IV30,IV60,IV90,IV1YR,IV2YR
01/11/07,100.38,100.40,100.15,100.40,1297,,,,,,,,,,,,,,
01/12/07,100.01,100.01,99.90,99.90,7,,,,,,,,,,,,,,
01/16/07,100.04,100.08,99.97,100.08,23,,,,,,,,,,,,,,
01/17/07,100.06,100.06,100.06,100.06,18,,,,,,,,,,,,,,
01/18/07,99.83,100.02,99.78,100.02,44,,,,,,,,,23,,,,,
01/19/07,99.85,99.86,99.83,99.83,47,,,,,,,,,22,,,,,
01/22/07,100.01,100.06,100.01,100.01,13,,,,,,,,,21,,,,,
01/23/07,99.86,99.86,99.64,99.71,43,,,,,,,,,24,,,,,
01/24/07,99.64,99.65,99.58,99.60,70,,,,,,,,,24,,,,,
01/25/07,99.14,99.14,99.03,99.06,16,,,,,,,,,26,,,,,
01/26/07,99.07,99.11,98.94,98.98,119,,,,,,,,,25,,,,,
01/29/07,98.99,98.99,98.85,98.85,21,,,,,,,,,24,,,,,
01/30/07,99.00,99.04,99.00,99.04,12,,,,,,,,,23,,,,,
01/31/07,99.17,99.33,99.17,99.33,59,,,,,,,,,24,,,,,
02/01/07,99.34,99.34,99.34,99.34,1,,,,,,,,,24,,,,,
02/02/07,99.39,99.39,99.30,99.30,61,,,,,,,,,24,,,,,
02/05/07,99.54,99.54,99.51,99.51,50,,,,,,,,,24,,,,,
02/06/07,99.43,99.44,99.42,99.44,248,,,,,,,,,22,,,,,
02/07/07,100.09,100.15,100.03,100.12,40,,,,,,,,,24,,,,,
02/08/07,100.17,100.17,100.17,100.17,7,,,,,,,,,28,,,,,
02/09/07,99.76,99.76,99.65,99.71,27,,,,,,,,,29,,,,,
02/12/07,99.66,99.66,99.63,99.64,30,,,,,,,,,27,,,,,
02/13/07,99.56,99.56,99.49,99.49,32,,,,,,,,,26,,,,,
02/14/07,100.03,100.19,99.94,100.19,76,,,,,,,,,30,,,,,
