DATE,OPEN,HIGH,LOW,CLOSE,VOLU,OPEN INT,CALL VOLU,PUT VOLU,CALL OI,PUT OI,CALL DVOL,PUT DVOL,IV,SV,IV30,IV60,IV90,IV1YR,IV2YR
01/22/10,92.08,92.31,91.76,92.00,36644,,2187,1628,77730,50269,340,187,119,,113,124,131,168,187
01/25/10,91.54,91.92,91.49,91.58,24193,,817,1404,78314,52175,82,73,109,,112,125,132,170,190
01/27/10,91.71,92.09,91.37,91.56,33237,,981,4383,82938,53594,146,913,109,,111,122,129,164,182
01/28/10,91.13,91.70,91.06,91.51,30574,,1887,798,85162,57097,183,91,103,,108,121,128,164,184
01/29/10,91.41,92.36,91.25,92.31,49198,,5501,2556,86228,57635,1345,263,105,89,106,119,127,164,184
02/01/10,91.71,91.73,91.05,91.15,35922,,1416,1440,86625,63235,167,224,109,98,110,119,126,164,186
02/02/10,91.16,91.45,91.04,91.41,30413,,2214,1020,88904,62700,197,134,98,93,106,116,123,162,187
02/03/10,90.81,90.97,90.27,90.35,52893,,4989,5402,84800,63573,613,877,107,97,111,120,127,162,189
02/04/10,90.99,91.82,90.90,91.78,60794,,6343,3298,91803,65641,795,478,118,101,121,127,132,164,191
02/05/10,91.35,92.42,91.20,91.98,68747,,3232,1333,99830,72276,320,253,116,107,119,127,133,166,188
02/08/10,91.89,92.15,91.65,92.10,33859,,3937,4699,102301,74252,390,395,122,108,123,129,135,165,189
02/09/10,91.75,92.22,91.14,91.18,47874,,,,,,,,,107,125,130,136,168,192
02/10/10,91.32,91.60,90.20,90.33,47268,,3485,3573,104014,82160,307,634,125,111,127,133,138,168,189
02/11/10,90.19,90.28,89.38,89.82,50871,,4042,8930,106328,83979,244,1318,118,121,122,129,135,168,192
02/12/10,90.30,90.42,89.95,90.19,27680,,2171,2986,107885,86037,269,401,112,118,115,123,129,149,149
02/16/10,89.73,90.44,89.73,90.36,24365,,1409,3613,107416,87326,161,258,123,112,120,125,130,148,148
02/17/10,89.90,90.09,89.08,89.33,42808,,3627,9676,100486,88551,240,998,124,114,119,124,129,145,145
02/18/10,89.46,89.50,88.51,88.97,50856,,5518,7067,102186,90987,458,1271,122,118,117,122,127,143,143
02/19/10,89.24,89.51,88.90,89.45,35024,,2811,3300,104961,93940,200,280,122,115,114,119,124,142,142
02/22/10,89.10,89.32,88.92,89.08,33825,,5702,5320,63231,62455,374,603,107,114,103,112,119,139,139
02/23/10,89.34,90.54,89.30,90.47,54745,,9823,6448,66531,64942,1031,486,111,114,108,116,120,138,138
02/24/10,90.55,90.88,90.18,90.69,44066,,7939,3488,80398,67361,388,455,105,123,102,111,116,136,136
02/25/10,91.18,91.29,90.90,91.20,37074,,4009,3205,87053,69934,332,293,106,121,104,112,117,136,136
02/26/10,91.48,92.06,91.41,91.67,43468,,6224,6986,90016,72424,543,899,101,121,100,107,113,133,133
03/01/10,91.33,91.53,90.96,91.34,24147,,4482,5487,91084,75384,1122,459,110,118,110,116,121,138,138
03/02/10,90.88,91.27,90.70,91.22,22605,,1043,1806,92558,81652,207,188,110,112,110,116,122,139,139
03/03/10,91.01,91.08,90.70,90.99,21537,,1492,1384,93112,81305,128,89,110,111,109,116,123,140,140
03/04/10,90.96,91.68,90.83,91.47,23720,,1473,1697,94104,82181,173,149,104,109,104,112,118,136,136
03/05/10,90.82,90.87,90.12,90.27,37515,,3150,5740,95361,83056,272,840,106,113,106,112,118,136,136
03/08/10,89.87,89.97,89.69,89.80,28484,,3158,4141,94595,85573,357,468,109,111,109,114,119,134,134
03/09/10,89.94,90.00,89.40,89.82,25735,,1942,3277,96351,86574,238,510,104,107,105,109,115,132,132
03/10/10,89.49,89.70,89.19,89.59,31737,,8966,6114,97133,87452,508,579,106,103,103,109,115,132,132
03/11/10,89.39,90.14,89.37,89.92,26213,,6049,3202,102133,90352,336,399,103,98,104,110,116,132,132
03/12/10,89.78,90.65,89.73,90.48,30990,,3012,3580,99782,92251,351,325,104,99,103,110,115,131,131
03/15/10,90.36,90.47,90.05,90.36,19269,,2400,2194,98583,93184,146,190,108,99,106,111,116,132,132
03/16/10,90.56,91.09,90.54,91.08,39321,,5779,17211,100404,93830,480,753,108,99,105,111,116,131,131
03/17/10,91.32,91.47,91.07,91.47,34810,,16863,4417,103308,99589,785,517,112,97,106,112,118,132,132
03/18/10,91.42,91.48,91.01,91.17,27502,,16324,11338,114201,101499,619,1131,110,94,104,110,116,132,132
03/19/10,90.92,91.58,90.87,91.26,29683,,6783,4759,113805,103137,673,614,108,91,102,108,115,131,131
03/22/10,91.34,91.49,91.22,91.36,24522,,6443,7552,51257,46111,508,697,102,89,99,106,111,129,129
03/23/10,91.07,91.32,90.91,90.93,29098,,3426,4721,56514,54122,358,520,99,82,96,104,110,128,128
03/24/10,89.84,90.25,89.05,89.27,80436,,10358,10687,58565,57648,1001,1771,109,83,107,112,117,131,131
03/25/10,89.11,89.24,88.37,88.70,82676,,11476,24197,61439,67038,626,3238,115,93,114,117,122,136,136
03/26/10,88.54,89.12,88.49,88.95,41079,,4695,2580,65083,77200,489,331,111,91,109,115,120,134,134
03/29/10,88.78,88.85,88.31,88.61,32450,,6241,7875,67527,77961,468,1477,116,90,115,119,123,135,135
03/30/10,88.52,88.95,88.27,88.89,32545,,4234,4917,71343,82200,387,610,116,88,115,120,126,138,138
03/31/10,89.22,89.44,89.18,89.20,8220,,3848,5679,72828,85612,469,645,112,92,111,116,123,135,135
04/01/10,88.77,89.03,88.43,88.95,29096,,4779,3154,80594,88096,582,434,110,91,109,117,123,134,134
04/05/10,87.98,88.13,87.41,87.47,56422,,14219,15349,83564,88628,1292,2579,110,95,110,119,125,136,136
04/06/10,87.80,87.85,87.35,87.61,35843,,3350,6946,80957,97633,230,1423,112,95,112,120,126,137,137
04/07/10,87.46,88.92,87.30,88.73,63821,,11662,12756,88488,97073,1788,1573,110,101,111,120,126,138,138
04/08/10,88.89,89.13,88.48,88.77,37975,,6566,5978,92194,94628,619,561,105,110,102,115,122,136,136
04/09/10,88.60,89.05,88.41,88.98,23111,,3028,8511,93019,100008,235,797,107,106,105,118,125,138,138
04/12/10,89.17,89.56,89.09,89.45,29393,,4184,8085,89504,101364,441,1618,110,105,108,118,125,138,138
