"","DATE","OPEN","HIGH","LOW","CLOSE"
"1","01/22/10",111.2,111.74,109.09,109.21
"2","01/25/10",110.21,110.41,109.41,109.77
"3","01/27/10",109.17,110.08,108.33,109.83
"4","01/28/10",110.19,110.25,107.91,108.57
"5","01/29/10",109.04,109.8,107.22,107.39
"6","02/01/10",108.15,109.07,107.5,109.06
"7","02/02/10",109.26,110.59,108.88,110.38
"8","02/03/10",109.88,110.48,109.51,109.83
"9","02/04/10",108.98,109.03,106.42,106.44
"10","02/05/10",106.56,106.88,104.58,106.66
"11","02/08/10",106.74,107.33,105.8,105.89
"12","02/09/10",107.13,108.15,106.27,107.22
"13","02/10/10",107.05,107.6,106.11,107.01
"14","02/11/10",106.87,108.25,106.25,108.13
"15","02/12/10",106.99,108.1,106.51,108.04
"16","02/16/10",108.86,109.85,107.82,109.74
"17","02/17/10",110.27,110.41,109.74,110.26
"18","02/18/10",110.08,111.14,110.03,110.91
"19","02/19/10",110.91,111.57,110.36,111.14
"20","02/22/10",111.55,111.58,110.83,111.16
"21","02/23/10",110.86,111.2,109.52,109.81
"22","02/24/10",109.81,111,109.86,110.82
"23","02/25/10",109.24,110.75,108.94,110.67
"24","02/26/10",110.77,111.12,110.11,110.74
"25","03/01/10",111.2,112,111.17,111.89
"26","03/02/10",112.37,112.74,112,112.2
"27","03/03/10",112.49,112.97,112.02,112.3
"28","03/04/10",112.45,112.8,112.03,112.64
"29","03/05/10",113.37,114.34,113.1,114.25
"30","03/08/10",114.26,114.52,114.07,114.27
"31","03/09/10",113.93,114.99,113.87,114.46
"32","03/10/10",114.46,115.27,114.41,114.97
"33","03/11/10",114.7,115.48,114.35,115.45
"34","03/12/10",115.95,115.97,115.14,115.46
"35","03/15/10",115.26,115.57,114.6,115.49
"36","03/16/10",115.81,116.52,115.49,116.41
"37","03/17/10",116.76,117.48,116.41,117.1
"38","03/18/10",117.11,117.27,116.57,117.03
"39","03/19/10",116.96,117.29,115.52,115.97
"40","03/22/10",115.31,116.8,115.24,116.59
"41","03/23/10",116.76,117.51,116.38,117.41
"42","03/24/10",116.97,117.42,115.58,116.84
"43","03/25/10",117.63,118.16,116.51,116.65
"44","03/26/10",116.87,117.42,116.12,116.58
"45","03/29/10",117.16,117.53,116.68,117.32
"46","03/30/10",117.46,117.83,116.91,117.4
"47","03/31/10",117.4,117.35,116.61,117.11
"48","04/01/10",117.8,118.25,117.1,117.8
"49","04/05/10",118.25,118.84,117.92,118.76
"50","04/06/10",118.42,119.25,118.29,119.04
"51","04/07/10",118.8,119.35,117.81,118.36
"52","04/08/10",117.95,118.97,117.6,118.77
"53","04/09/10",119.02,119.6,118.8,119.55
"54","04/12/10",119.7,120.05,119.56,119.74
"55","04/13/10",119.62,120.04,119,119.83
"56","04/14/10",120.27,121.19,120.08,121.19
"57","04/15/10",120.99,121.56,120.95,121.29
"58","04/16/10",120.86,121.28,118.75,119.36
"59","04/19/10",119.01,119.93,118.47,119.81
"60","04/20/10",120.56,120.98,119.87,119.87
"61","04/21/10",120.95,121.23,119.99,120.66
"62","04/22/10",120.66,121.17,119.12,121.02
"63","04/23/10",120.94,121.86,120.63,121.81
"64","04/26/10",121.85,122.12,121.23,121.35
"65","04/27/10",120.65,121.33,118.25,118.48
"66","04/28/10",119.05,119.68,118.27,119.38
"67","04/29/10",120.1,121.11,120.07,120.85
"68","04/30/10",120.88,121.01,118.78,118.81
"69","05/03/10",119.38,120.68,119.2,120.35
"70","05/04/10",120.35,119.03,116.92,117.52
"71","05/05/10",116.56,117.8,115.97,116.82
"72","05/06/10",116.82,117,112.94,112.94
"73","05/07/10",112.94,113.77,109.41,111.26
"74","05/10/10",115.81,116.65,114.91,116.16
"75","05/11/10",115.07,117.36,114.91,115.83
"76","05/12/10",116.29,117.62,116.09,117.45
"77","05/13/10",117.13,117.68,115.89,115.99
"78","05/14/10",115.12,115.33,112.87,113.89
"79","05/17/10",114.2,114.52,111.77,113.95
"80","05/18/10",114.88,115.22,112.03,112.4
"81","05/19/10",111.77,112.77,110.36,111.76
"82","05/20/10",109.38,109.89,107.47,107.54
"83","05/21/10",105.91,109.38,105.36,109.11
"84","05/24/10",108.52,109.39,107.61,107.71
"85","05/25/10",105.11,107.87,104.38,107.81
"86","05/26/10",108.48,109.47,106.85,107.17
"87","05/27/10",107.17,110.8,108.78,110.76
"88","05/28/10",110.65,110.72,108.85,109.36
"89","06/01/10",109.36,109.95,107.37,107.53
"90","06/02/10",108.08,110.34,107.5,110.33
"91","06/03/10",110.65,111.06,109.58,110.71
"92","06/04/10",108.61,109.33,106.46,106.82
"93","06/07/10",107.2,107.61,105.41,105.49
"94","06/08/10",105.57,106.83,104.65,106.62
"95","06/09/10",106.62,108.28,105.6,106.05
"96","06/10/10",106.05,109.28,106.04,109.15
"97","06/11/10",108.19,109.75,108.12,109.68
"98","06/14/10",109.68,111.12,109.4,109.5
"99","06/15/10",110.28,112.1,110.09,112
"100","06/16/10",111.42,112.42,111.2,111.96
"101","06/17/10",112.28,112.33,111.05,112.14
"102","06/18/10",111.83,112.13,111.37,111.72
"103","06/21/10",113.12,113.2,110.79,111.41
"104","06/22/10",111.41,111.9,109.41,109.57
"105","06/23/10",109.64,110.03,108.48,109.23
"106","06/24/10",108.69,108.83,107.14,107.42
"107","06/25/10",107.74,108.42,106.77,107.86
"108","06/28/10",108.03,108.32,107.14,107.53
"109","06/29/10",107.53,107.51,103.55,104.21
"110","06/30/10",104.21,104.88,102.88,103.22
"111","07/01/10",103.22,103.49,101.13,102.76
"112","07/02/10",103.11,103.42,101.62,102.2
"113","07/06/10",103.64,104.37,101.88,102.87
"114","07/07/10",103.13,106.24,103.02,106.1
"115","07/08/10",107,107.28,105.91,107.16
"116","07/09/10",107.13,107.97,106.93,107.96
"117","07/12/10",107.6,108.24,107.15,108.03
"118","07/13/10",109.15,110.09,108.93,109.66
"119","07/14/10",109.31,110.08,108.86,109.65
"120","07/15/10",109.61,110.06,108.17,109.68
"121","07/16/10",109.09,109.2,106.45,106.66
"122","07/19/10",107.05,107.63,106.22,107.29
"123","07/20/10",105.87,108.56,105.82,108.48
"124","07/21/10",109.04,109.07,106.63,107.07
"125","07/22/10",108.34,109.94,108.33,109.46
"126","07/23/10",109.46,110.57,108.93,110.41
"127","07/26/10",110.6,111.67,110.29,111.56
"128","07/27/10",112.17,112.29,111.11,111.55
"129","07/28/10",111.32,111.66,110.46,110.83
"130","07/29/10",111.52,111.82,109.41,110.29
"131","07/30/10",109.16,110.86,108.98,110.27
"132","08/02/10",111.99,112.94,111.54,112.76
"133","08/03/10",112.47,112.77,111.85,112.22
"134","08/04/10",112.53,113.11,112.16,112.97
"135","08/05/10",112.25,112.91,112.08,112.85
"136","08/06/10",111.73,112.57,110.92,112.39
"137","08/09/10",112.92,113.18,112.32,112.99
"138","08/10/10",112.03,112.98,111.37,112.37
"139","08/11/10",110.65,110.69,109.12,109.3
"140","08/12/10",109.3,109.02,107.6,108.63
"141","08/13/10",108.29,108.96,108.18,108.31
"142","08/16/10",108.31,108.61,107.18,108.26
"143","08/17/10",109.19,110.39,108.88,109.59
"144","08/18/10",109.54,110.38,108.91,109.79
"145","08/19/10",109.22,109.49,107.43,107.88
"146","08/20/10",107.88,107.93,106.74,107.53
"147","08/23/10",108.04,108.57,107.07,107.12
"148","08/24/10",105.95,106.39,104.97,105.53
"149","08/25/10",104.95,106.34,104.29,105.94
"150","08/26/10",105.94,106.58,104.88,105.23
"151","08/27/10",105.89,106.97,104.31,106.86
"152","08/30/10",106.58,106.91,105.3,105.31
"153","08/31/10",105.31,105.98,104.49,105.31
"154","09/01/10",106.73,108.61,106.66,108.46
"155","09/02/10",108.46,109.49,108.49,109.47
"156","09/03/10",109.47,110.99,109.95,110.89
"157","09/07/10",110.37,110.51,109.55,109.64
"158","09/08/10",109.86,110.85,109.81,110.41
"159","09/09/10",111.65,111.68,110.62,110.92
"160","09/10/10",111.12,111.61,110.87,111.48
"161","09/13/10",112.58,112.95,112.13,112.72
"162","09/14/10",112.5,113.29,112.08,112.65
"163","09/15/10",112.67,113.21,111.98,113.17
"164","09/16/10",112.98,113.12,112.35,113.33
"165","09/17/10",113.5,113.15,112.18,112.44
"166","09/20/10",113.11,114.46,112.52,114.11
"167","09/21/10",114.02,114.84,113.51,113.93
"168","09/22/10",113.75,114.44,113.1,113.42
"169","09/23/10",112.8,113.67,112.18,112.54
"170","09/24/10",113.74,114.9,113.65,114.77
"171","09/27/10",114.87,114.99,114.16,114.25
"172","09/28/10",114.43,115.04,113.18,114.77
"173","09/29/10",114.33,114.91,114.02,114.46
"174","09/30/10",115.07,115.79,113.59,114.11
"175","10/01/10",114.97,115.12,113.93,114.62
"176","10/04/10",114.36,114.85,113.18,113.74
"177","10/05/10",114.81,116.32,114.67,116.04
"178","10/06/10",116.03,116.33,115.56,116.02
"179","10/07/10",116.51,116.53,115.19,115.86
"180","10/08/10",116.06,116.86,115.61,116.54
"181","10/11/10",116.75,116.97,116.25,116.61
"182","10/12/10",116.26,117.35,115.65,117.04
"183","10/13/10",117.66,118.55,117.38,117.92
"184","10/14/10",117.81,118.01,116.72,117.45
"185","10/15/10",118.28,118.35,116.76,117.69
"186","10/18/10",117.73,118.67,117.31,118.55
"187","10/19/10",117.19,117.85,116.02,116.72
"188","10/20/10",116.95,118.44,116.87,117.89
"189","10/21/10",118.41,119.09,117.21,118.15
"190","10/22/10",118.31,118.53,118,118.39
"191","10/25/10",119.16,119.76,118.61,118.7
"192","10/26/10",118.1,118.84,117.87,118.69
"193","10/27/10",117.88,118.51,117.26,118.36
